ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
bear,cat,ant,lizard,owl,horse,pigeon,sparrow,giraffe,"['stim8', 'stim5', 'stim1', 'stim4', 'stim6', 'stim7', 'stim3', 'stim2']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
shark,horse,elephant,snail,frog,eagle,snake,spider,hog,"['stim2', 'stim4', 'stim1', 'stim8', 'stim6', 'stim5', 'stim3', 'stim7']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
shark,crocodile,mouse,butterfly,giraffe,bat,sparrow,monkey,fox,"['stim1', 'stim4', 'stim7', 'stim8', 'stim2', 'stim5', 'stim6', 'stim3']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
sheep,ant,bluebird,butterfly,duck,cow,goldfish,elephant,bat,"['stim5', 'stim7', 'stim4', 'stim2', 'stim8', 'stim6', 'stim3', 'stim1']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
giraffe,mouse,whale,hog,lizard,rat,cat,frog,sheep,"['stim3', 'stim8', 'stim6', 'stim2', 'stim5', 'stim1', 'stim4', 'stim7']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
duck,fox,monkey,sparrow,dog,ladybug,snake,hog,shark,"['stim3', 'stim4', 'stim1', 'stim7', 'stim2', 'stim6', 'stim8', 'stim5']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
turtle,whale,rat,sheep,lizard,duck,pigeon,goldfish,cat,"['stim4', 'stim7', 'stim5', 'stim6', 'stim2', 'stim8', 'stim3', 'stim1']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
sheep,snake,hog,turtle,frog,dolphin,monkey,spider,owl,"['stim2', 'stim6', 'stim5', 'stim8', 'stim3', 'stim4', 'stim1', 'stim7']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
ladybug,shark,dolphin,hog,duck,mouse,eagle,fox,cat,"['stim5', 'stim4', 'stim6', 'stim8', 'stim3', 'stim7', 'stim2', 'stim1']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
hog,turtle,shark,snake,bat,eagle,crocodile,monkey,giraffe,"['stim8', 'stim7', 'stim6', 'stim3', 'stim2', 'stim5', 'stim1', 'stim4']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,"['stim3', 'stim7', 'stim4', 'stim6', 'stim8', 'stim5', 'stim1', 'stim2']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
bear,duck,turkey,mouse,bluebird,turtle,hog,sheep,dolphin,"['stim7', 'stim6', 'stim8', 'stim2', 'stim1', 'stim5', 'stim3', 'stim4']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
sparrow,pigeon,turkey,goat,turtle,dog,cat,hog,shark,"['stim1', 'stim2', 'stim4', 'stim5', 'stim6', 'stim3', 'stim7', 'stim8']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
mouse,frog,snake,rat,goldfish,dolphin,cow,whale,giraffe,"['stim3', 'stim2', 'stim1', 'stim4', 'stim6', 'stim8', 'stim5', 'stim7']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
monkey,dog,horse,bat,turtle,ant,dolphin,crocodile,duck,"['stim6', 'stim2', 'stim1', 'stim8', 'stim3', 'stim7', 'stim4', 'stim5']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,"['stim1', 'stim8', 'stim2', 'stim6', 'stim4', 'stim7', 'stim5', 'stim3']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
turtle,cow,ant,cat,snake,elephant,snail,duck,sparrow,"['stim7', 'stim4', 'stim6', 'stim8', 'stim3', 'stim1', 'stim5', 'stim2']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
spider,fox,bluebird,mouse,bat,sparrow,goat,dog,elephant,"['stim4', 'stim3', 'stim5', 'stim2', 'stim1', 'stim6', 'stim7', 'stim8']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
whale,duck,shark,cow,lizard,dolphin,ant,butterfly,owl,"['stim2', 'stim5', 'stim3', 'stim1', 'stim8', 'stim4', 'stim7', 'stim6']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
rat,lizard,crocodile,dog,bluebird,tiger,duck,fox,sparrow,"['stim1', 'stim8', 'stim4', 'stim2', 'stim6', 'stim3', 'stim7', 'stim5']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,"['stim6', 'stim8', 'stim1', 'stim4', 'stim2', 'stim7', 'stim5', 'stim3']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,"['stim7', 'stim3', 'stim2', 'stim8', 'stim6', 'stim4', 'stim5', 'stim1']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
whale,spider,mouse,turkey,dog,owl,hog,shark,turtle,"['stim7', 'stim8', 'stim6', 'stim4', 'stim5', 'stim3', 'stim2', 'stim1']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
bat,goldfish,giraffe,dog,frog,spider,shark,whale,hog,"['stim4', 'stim3', 'stim8', 'stim2', 'stim6', 'stim7', 'stim1', 'stim5']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
horse,rat,snail,ladybug,turtle,dolphin,owl,cat,pigeon,"['stim7', 'stim5', 'stim6', 'stim8', 'stim4', 'stim1', 'stim2', 'stim3']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
ladybug,cat,owl,bat,bluebird,shark,lizard,ant,goldfish,"['stim7', 'stim6', 'stim8', 'stim3', 'stim2', 'stim4', 'stim1', 'stim5']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
fox,eagle,snake,bluebird,pigeon,dog,frog,sparrow,horse,"['stim5', 'stim8', 'stim3', 'stim4', 'stim1', 'stim7', 'stim2', 'stim6']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,"['stim4', 'stim8', 'stim5', 'stim6', 'stim3', 'stim7', 'stim2', 'stim1']",S7,8,2020_Jun_03_1504,word_exp,2020.1.0,None
