ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
sheep,fox,eagle,giraffe,pigeon,ladybug,whale,horse,lizard,"['stim1', 'stim7', 'stim3', 'stim6', 'stim8', 'stim5', 'stim4', 'stim2']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
snake,ant,monkey,spider,butterfly,ladybug,dolphin,sparrow,turtle,"['stim8', 'stim5', 'stim1', 'stim3', 'stim4', 'stim6', 'stim7', 'stim2']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
sparrow,pigeon,cat,hog,dog,turtle,goat,shark,turkey,"['stim1', 'stim8', 'stim5', 'stim6', 'stim2', 'stim4', 'stim3', 'stim7']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
eagle,mouse,sheep,pigeon,dolphin,crocodile,giraffe,bear,rat,"['stim3', 'stim8', 'stim1', 'stim2', 'stim6', 'stim7', 'stim5', 'stim4']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
sparrow,lizard,tiger,duck,sheep,ant,frog,crocodile,cow,"['stim3', 'stim5', 'stim1', 'stim6', 'stim4', 'stim8', 'stim7', 'stim2']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
cow,lizard,goldfish,sparrow,tiger,turkey,frog,rat,eagle,"['stim4', 'stim7', 'stim5', 'stim1', 'stim6', 'stim3', 'stim8', 'stim2']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
snake,spider,rat,goldfish,ant,bluebird,mouse,goat,pigeon,"['stim3', 'stim4', 'stim1', 'stim2', 'stim6', 'stim8', 'stim7', 'stim5']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
giraffe,mouse,cat,frog,rat,lizard,hog,sheep,whale,"['stim7', 'stim2', 'stim4', 'stim1', 'stim8', 'stim6', 'stim5', 'stim3']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
elephant,ant,hog,cat,lizard,turkey,ladybug,goat,whale,"['stim8', 'stim4', 'stim2', 'stim7', 'stim3', 'stim5', 'stim1', 'stim6']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
mouse,duck,butterfly,crocodile,goat,snail,eagle,lizard,cat,"['stim8', 'stim4', 'stim7', 'stim3', 'stim5', 'stim2', 'stim1', 'stim6']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
dog,elephant,whale,hog,butterfly,turkey,goat,crocodile,bat,"['stim6', 'stim3', 'stim1', 'stim2', 'stim8', 'stim7', 'stim4', 'stim5']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
goat,sheep,duck,whale,cow,spider,rat,mouse,horse,"['stim1', 'stim8', 'stim4', 'stim7', 'stim3', 'stim6', 'stim2', 'stim5']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
goat,monkey,lizard,dog,tiger,fox,shark,pigeon,snake,"['stim3', 'stim5', 'stim4', 'stim2', 'stim1', 'stim7', 'stim8', 'stim6']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
crocodile,eagle,dog,bat,pigeon,dolphin,monkey,mouse,fox,"['stim5', 'stim2', 'stim8', 'stim6', 'stim7', 'stim3', 'stim4', 'stim1']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
crocodile,turkey,butterfly,frog,tiger,bear,duck,sparrow,cow,"['stim3', 'stim8', 'stim4', 'stim5', 'stim1', 'stim6', 'stim7', 'stim2']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
duck,dog,giraffe,turtle,mouse,crocodile,spider,shark,cow,"['stim3', 'stim4', 'stim1', 'stim5', 'stim6', 'stim8', 'stim2', 'stim7']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
snail,butterfly,eagle,hog,whale,bat,snake,elephant,bear,"['stim6', 'stim1', 'stim3', 'stim4', 'stim7', 'stim8', 'stim5', 'stim2']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
dolphin,tiger,frog,duck,cow,bluebird,turtle,spider,ant,"['stim2', 'stim4', 'stim1', 'stim6', 'stim3', 'stim8', 'stim7', 'stim5']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
rat,tiger,cow,pigeon,lizard,mouse,ant,hog,frog,"['stim5', 'stim3', 'stim4', 'stim8', 'stim7', 'stim6', 'stim2', 'stim1']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
cat,frog,mouse,ladybug,crocodile,duck,goldfish,sparrow,lizard,"['stim2', 'stim4', 'stim8', 'stim1', 'stim5', 'stim7', 'stim3', 'stim6']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
bat,tiger,cat,horse,turkey,duck,pigeon,snail,snake,"['stim6', 'stim5', 'stim4', 'stim2', 'stim7', 'stim3', 'stim1', 'stim8']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
monkey,dog,owl,horse,frog,snake,sheep,pigeon,cat,"['stim3', 'stim1', 'stim8', 'stim6', 'stim7', 'stim2', 'stim4', 'stim5']",S4,8,2021_Jul_07_1417,word_exp,2020.1.0,60.01952724
