ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
sheep,fox,eagle,giraffe,pigeon,ladybug,whale,horse,lizard
snake,ant,monkey,spider,butterfly,ladybug,dolphin,sparrow,turtle
sparrow,pigeon,cat,hog,dog,turtle,goat,shark,turkey
eagle,mouse,sheep,pigeon,dolphin,crocodile,giraffe,bear,rat
sparrow,lizard,tiger,duck,sheep,ant,frog,crocodile,cow
cow,lizard,goldfish,sparrow,tiger,turkey,frog,rat,eagle
snake,spider,rat,goldfish,ant,bluebird,mouse,goat,pigeon
giraffe,mouse,cat,frog,rat,lizard,hog,sheep,whale
elephant,ant,hog,cat,lizard,turkey,ladybug,goat,whale
mouse,duck,butterfly,crocodile,goat,snail,eagle,lizard,cat
dog,elephant,whale,hog,butterfly,turkey,goat,crocodile,bat
goat,sheep,duck,whale,cow,spider,rat,mouse,horse
goat,monkey,lizard,dog,tiger,fox,shark,pigeon,snake
crocodile,eagle,dog,bat,pigeon,dolphin,monkey,mouse,fox
crocodile,turkey,butterfly,frog,tiger,bear,duck,sparrow,cow
duck,dog,giraffe,turtle,mouse,crocodile,spider,shark,cow
snail,butterfly,eagle,hog,whale,bat,snake,elephant,bear
dolphin,tiger,frog,duck,cow,bluebird,turtle,spider,ant
rat,tiger,cow,pigeon,lizard,mouse,ant,hog,frog
cat,frog,mouse,ladybug,crocodile,duck,goldfish,sparrow,lizard
bat,tiger,cat,horse,turkey,duck,pigeon,snail,snake
monkey,dog,owl,horse,frog,snake,sheep,pigeon,cat
turkey,horse,hog,rat,frog,spider,whale,bear,monkey
elephant,goat,turtle,owl,eagle,crocodile,rat,ant,sparrow
snail,rat,spider,cat,dolphin,cow,ant,monkey,tiger
butterfly,eagle,frog,ladybug,goldfish,fox,duck,cow,mouse
fox,bear,goat,goldfish,bluebird,giraffe,tiger,pigeon,dolphin
snail,mouse,tiger,sheep,horse,whale,snake,turtle,dolphin
lizard,sparrow,bat,turkey,frog,shark,snake,crocodile,turtle
butterfly,bear,owl,turkey,ant,sheep,crocodile,tiger,snail
mouse,turkey,frog,dog,elephant,ant,bat,spider,giraffe
bear,duck,hog,sheep,turtle,bluebird,mouse,dolphin,turkey
lizard,pigeon,tiger,duck,mouse,dolphin,owl,ladybug,cat
spider,cat,goat,lizard,turkey,cow,hog,bluebird,dolphin
duck,eagle,sheep,horse,ant,lizard,turkey,butterfly,goldfish
bat,mouse,giraffe,bluebird,cow,ladybug,owl,butterfly,dog
shark,horse,snake,spider,eagle,frog,snail,hog,elephant
eagle,turkey,turtle,snail,hog,cat,sparrow,frog,cow
spider,turkey,dolphin,owl,snake,pigeon,sheep,goldfish,horse
dog,spider,snail,horse,crocodile,sheep,duck,turkey,snake
rat,butterfly,elephant,pigeon,giraffe,snail,bear,snake,ant
bat,snake,fox,rat,crocodile,turtle,snail,sheep,lizard
goldfish,cat,spider,hog,monkey,whale,cow,lizard,elephant
monkey,goat,lizard,snail,whale,sparrow,ladybug,hog,bear
rat,snake,cat,shark,goat,butterfly,sheep,turkey,spider
giraffe,bat,goat,turkey,monkey,pigeon,crocodile,ladybug,duck
dolphin,cow,horse,whale,monkey,sparrow,frog,snake,shark
pigeon,elephant,lizard,bat,snake,bluebird,goat,hog,monkey
