ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
whale,goldfish,monkey,goat,bear,crocodile,eagle,ladybug,sheep,"['stim1', 'stim5', 'stim4', 'stim3', 'stim2', 'stim8', 'stim6', 'stim7']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
ladybug,mouse,hog,fox,duck,dolphin,shark,cat,eagle,"['stim1', 'stim4', 'stim7', 'stim8', 'stim2', 'stim3', 'stim5', 'stim6']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
snake,ant,mouse,goldfish,bluebird,pigeon,spider,goat,rat,"['stim6', 'stim1', 'stim2', 'stim8', 'stim3', 'stim5', 'stim7', 'stim4']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
butterfly,ladybug,duck,dolphin,elephant,bluebird,giraffe,hog,goat,"['stim1', 'stim5', 'stim2', 'stim7', 'stim8', 'stim6', 'stim4', 'stim3']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
snail,whale,snake,hog,bat,bear,butterfly,elephant,eagle,"['stim6', 'stim2', 'stim4', 'stim1', 'stim7', 'stim3', 'stim5', 'stim8']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
snail,lizard,sparrow,goat,turkey,dog,owl,frog,goldfish,"['stim1', 'stim7', 'stim8', 'stim3', 'stim5', 'stim4', 'stim2', 'stim6']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
shark,bat,butterfly,monkey,giraffe,mouse,crocodile,fox,sparrow,"['stim6', 'stim7', 'stim4', 'stim3', 'stim5', 'stim1', 'stim8', 'stim2']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
elephant,lizard,ladybug,cat,turkey,whale,ant,goat,hog,"['stim5', 'stim8', 'stim1', 'stim7', 'stim3', 'stim4', 'stim6', 'stim2']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
bear,turtle,mouse,sheep,bluebird,turkey,duck,dolphin,hog,"['stim7', 'stim8', 'stim3', 'stim2', 'stim5', 'stim1', 'stim6', 'stim4']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
frog,tiger,cow,snake,hog,snail,dog,cat,owl,"['stim3', 'stim5', 'stim4', 'stim7', 'stim6', 'stim2', 'stim1', 'stim8']",S4,5,2021_Jul_01_1105,word_exp,2020.1.0,59.83891376
