ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
duck,bluebird,bat,owl,whale,sheep,horse,snail,goat,"['stim1', 'stim2', 'stim3', 'stim5', 'stim8', 'stim6', 'stim7', 'stim4']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
butterfly,dolphin,horse,sparrow,snake,whale,cat,giraffe,monkey,"['stim3', 'stim4', 'stim6', 'stim8', 'stim2', 'stim7', 'stim1', 'stim5']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
bluebird,elephant,whale,ant,pigeon,snake,ladybug,shark,tiger,"['stim4', 'stim6', 'stim3', 'stim1', 'stim8', 'stim5', 'stim2', 'stim7']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
ant,goldfish,sparrow,eagle,spider,ladybug,pigeon,snake,monkey,"['stim4', 'stim5', 'stim2', 'stim1', 'stim7', 'stim6', 'stim8', 'stim3']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
fox,dog,bluebird,sparrow,pigeon,snake,eagle,horse,frog,"['stim1', 'stim7', 'stim6', 'stim4', 'stim3', 'stim2', 'stim8', 'stim5']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
frog,whale,ant,dolphin,giraffe,pigeon,turtle,duck,horse,"['stim6', 'stim7', 'stim5', 'stim2', 'stim3', 'stim8', 'stim4', 'stim1']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
ladybug,shark,bat,ant,bluebird,owl,cat,goldfish,lizard,"['stim3', 'stim2', 'stim4', 'stim5', 'stim8', 'stim7', 'stim6', 'stim1']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
cat,crocodile,goldfish,ladybug,duck,lizard,frog,sparrow,mouse,"['stim8', 'stim5', 'stim1', 'stim6', 'stim4', 'stim3', 'stim7', 'stim2']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
monkey,ant,bat,crocodile,turtle,horse,dog,duck,dolphin,"['stim6', 'stim5', 'stim2', 'stim3', 'stim7', 'stim8', 'stim4', 'stim1']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
monkey,whale,ladybug,snail,sparrow,bear,goat,hog,lizard,"['stim6', 'stim7', 'stim5', 'stim8', 'stim1', 'stim2', 'stim4', 'stim3']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
sparrow,dog,goat,hog,turtle,turkey,pigeon,shark,cat,"['stim6', 'stim4', 'stim5', 'stim8', 'stim2', 'stim3', 'stim1', 'stim7']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
pigeon,snake,goat,bat,bluebird,monkey,elephant,hog,lizard,"['stim4', 'stim3', 'stim5', 'stim2', 'stim8', 'stim7', 'stim6', 'stim1']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
goldfish,snake,sheep,horse,sparrow,bat,crocodile,bluebird,snail,"['stim1', 'stim8', 'stim6', 'stim5', 'stim4', 'stim7', 'stim2', 'stim3']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
ladybug,cow,turkey,snail,snake,pigeon,sheep,monkey,rat,"['stim3', 'stim8', 'stim5', 'stim2', 'stim4', 'stim6', 'stim7', 'stim1']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
hog,sparrow,goldfish,fox,horse,ladybug,bear,turkey,goat,"['stim8', 'stim6', 'stim3', 'stim4', 'stim7', 'stim1', 'stim5', 'stim2']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
tiger,sparrow,sheep,ladybug,giraffe,elephant,monkey,cow,dolphin,"['stim5', 'stim4', 'stim6', 'stim2', 'stim7', 'stim8', 'stim1', 'stim3']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
hog,rat,duck,shark,sheep,monkey,butterfly,tiger,pigeon,"['stim4', 'stim5', 'stim7', 'stim1', 'stim2', 'stim3', 'stim8', 'stim6']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
cat,dog,dolphin,snail,snake,sheep,cow,hog,butterfly,"['stim1', 'stim5', 'stim6', 'stim7', 'stim2', 'stim8', 'stim4', 'stim3']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
bear,cow,whale,snake,bat,fox,goat,shark,spider,"['stim5', 'stim1', 'stim6', 'stim4', 'stim2', 'stim8', 'stim3', 'stim7']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
crocodile,pigeon,dolphin,cow,turkey,sheep,ladybug,goldfish,goat,"['stim2', 'stim5', 'stim8', 'stim3', 'stim7', 'stim4', 'stim6', 'stim1']",S4,6,2021_Jul_02_1110,word_exp,2020.1.0,60.15645491
