ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
duck,bluebird,bat,owl,whale,sheep,horse,snail,goat
butterfly,dolphin,horse,sparrow,snake,whale,cat,giraffe,monkey
bluebird,elephant,whale,ant,pigeon,snake,ladybug,shark,tiger
ant,goldfish,sparrow,eagle,spider,ladybug,pigeon,snake,monkey
fox,dog,bluebird,sparrow,pigeon,snake,eagle,horse,frog
frog,whale,ant,dolphin,giraffe,pigeon,turtle,duck,horse
ladybug,shark,bat,ant,bluebird,owl,cat,goldfish,lizard
cat,crocodile,goldfish,ladybug,duck,lizard,frog,sparrow,mouse
monkey,ant,bat,crocodile,turtle,horse,dog,duck,dolphin
monkey,whale,ladybug,snail,sparrow,bear,goat,hog,lizard
sparrow,dog,goat,hog,turtle,turkey,pigeon,shark,cat
pigeon,snake,goat,bat,bluebird,monkey,elephant,hog,lizard
goldfish,snake,sheep,horse,sparrow,bat,crocodile,bluebird,snail
ladybug,cow,turkey,snail,snake,pigeon,sheep,monkey,rat
hog,sparrow,goldfish,fox,horse,ladybug,bear,turkey,goat
tiger,sparrow,sheep,ladybug,giraffe,elephant,monkey,cow,dolphin
hog,rat,duck,shark,sheep,monkey,butterfly,tiger,pigeon
cat,dog,dolphin,snail,snake,sheep,cow,hog,butterfly
bear,cow,whale,snake,bat,fox,goat,shark,spider
crocodile,pigeon,dolphin,cow,turkey,sheep,ladybug,goldfish,goat
rat,crocodile,turtle,monkey,duck,goldfish,owl,ladybug,dolphin
mouse,owl,fox,sheep,snake,monkey,dolphin,turtle,bluebird
bluebird,hog,lizard,bear,cow,horse,frog,dog,monkey
horse,eagle,tiger,bat,mouse,whale,fox,cow,monkey
goldfish,shark,ladybug,snail,eagle,dolphin,snake,turkey,frog
turkey,eagle,bat,ant,tiger,duck,monkey,ladybug,horse
fox,hog,elephant,spider,mouse,ant,cat,snail,sheep
pigeon,ant,cow,rat,snail,cat,dolphin,goldfish,spider
hog,cow,bluebird,crocodile,elephant,dog,spider,ant,snake
crocodile,tiger,duck,frog,bear,cow,turkey,sparrow,butterfly
elephant,dog,bluebird,mouse,spider,monkey,bat,giraffe,snake
turtle,turkey,giraffe,cow,elephant,crocodile,bluebird,shark,goat
tiger,rat,goldfish,bear,hog,giraffe,horse,monkey,turkey
dolphin,monkey,frog,whale,sparrow,shark,cow,snake,horse
turtle,butterfly,horse,spider,frog,fox,hog,crocodile,giraffe
turtle,elephant,cat,duck,snake,ant,cow,sparrow,snail
elephant,eagle,rat,owl,crocodile,sparrow,goat,ant,turtle
turkey,cat,bat,shark,giraffe,pigeon,turtle,bluebird,ant
spider,snake,sheep,owl,pigeon,horse,turkey,goldfish,dolphin
sparrow,bat,snake,sheep,dolphin,bear,giraffe,goldfish,tiger
pigeon,tiger,eagle,turtle,horse,whale,spider,snail,ladybug
giraffe,ant,ladybug,snake,sparrow,turkey,dolphin,owl,turtle
lizard,frog,snake,turkey,shark,turtle,sparrow,crocodile,bat
rat,sheep,turtle,cat,ladybug,whale,horse,eagle,bat
ladybug,giraffe,frog,elephant,monkey,snake,turtle,whale,dog
fox,bluebird,tiger,goldfish,giraffe,dolphin,bear,pigeon,goat
spider,duck,turtle,dog,mouse,tiger,snail,giraffe,ant
cow,ladybug,snake,frog,shark,bat,goldfish,pigeon,duck
tiger,goat,ant,turtle,lizard,snake,fox,pigeon,eagle
dog,cat,pigeon,ant,turtle,monkey,dolphin,shark,mouse
whale,eagle,rat,cat,sheep,dolphin,horse,ant,fox
shark,goat,whale,sparrow,bear,monkey,dog,cat,turkey
snail,dolphin,ant,cat,cow,tiger,rat,monkey,spider
horse,duck,lizard,mouse,tiger,butterfly,shark,frog,dog
ant,elephant,fox,owl,bluebird,frog,duck,goat,tiger
frog,ladybug,eagle,shark,monkey,dolphin,elephant,rat,whale
sheep,dolphin,turtle,spider,frog,hog,snake,owl,monkey
bat,spider,dog,whale,frog,giraffe,goldfish,hog,shark
frog,mouse,eagle,goat,bluebird,crocodile,rat,butterfly,fox
dog,crocodile,duck,horse,sheep,snake,spider,turkey,snail
monkey,mouse,goldfish,goat,giraffe,fox,elephant,turkey,lizard
goat,sparrow,owl,monkey,bat,turkey,tiger,goldfish,frog
snake,snail,bear,cow,dog,elephant,frog,shark,giraffe
tiger,butterfly,bear,turkey,duck,bluebird,frog,spider,owl
owl,turtle,spider,crocodile,cat,lizard,rat,giraffe,dog
bat,owl,cow,monkey,ant,pigeon,eagle,elephant,cat
cow,bluebird,whale,turtle,crocodile,mouse,giraffe,owl,elephant
crocodile,cat,elephant,sparrow,giraffe,whale,lizard,duck,rat
mouse,horse,duck,tiger,snail,shark,pigeon,ant,dog
elephant,horse,bear,sheep,pigeon,dolphin,frog,turtle,crocodile
sparrow,sheep,frog,duck,ant,cow,lizard,crocodile,tiger
owl,fox,bat,snake,horse,whale,hog,goat,duck
dolphin,bat,turtle,tiger,goat,ladybug,bear,sheep,fox
fox,owl,crocodile,butterfly,turkey,spider,duck,shark,snail
mouse,goat,eagle,crocodile,snail,cat,duck,lizard,butterfly
butterfly,goldfish,duck,ladybug,fox,mouse,eagle,cow,frog
bat,cow,owl,bluebird,ladybug,dog,mouse,butterfly,giraffe
cow,giraffe,bear,cat,horse,owl,ant,hog,butterfly
lizard,cow,bear,shark,hog,fox,dog,snail,bat
fox,rat,crocodile,duck,dog,eagle,monkey,cow,whale
turkey,crocodile,goldfish,hog,bear,lizard,elephant,cow,fox
crocodile,hog,horse,spider,turtle,fox,dog,shark,snake
bluebird,sparrow,turkey,mouse,goat,goldfish,crocodile,sheep,butterfly
duck,ant,turkey,horse,lizard,goldfish,eagle,butterfly,sheep
bear,cow,eagle,dog,crocodile,turtle,elephant,duck,shark
duck,ladybug,sparrow,hog,dog,monkey,fox,shark,snake
dog,goldfish,horse,fox,sparrow,shark,snail,turtle,rat
turkey,owl,cat,snake,sheep,snail,butterfly,mouse,giraffe
bat,sparrow,rat,goat,dolphin,goldfish,bear,lizard,spider
duck,turkey,frog,tiger,lizard,turtle,cow,pigeon,bear
owl,turkey,elephant,eagle,sparrow,mouse,frog,ant,cow
dolphin,snail,pigeon,cat,hog,dog,eagle,goldfish,turkey
ladybug,duck,tiger,spider,bear,elephant,whale,goat,eagle
spider,sparrow,mouse,dog,bat,bluebird,fox,elephant,goat
goat,bear,cat,turtle,snake,bluebird,crocodile,shark,butterfly
snail,hog,bluebird,crocodile,goat,butterfly,frog,giraffe,shark
cow,tiger,frog,sparrow,turkey,eagle,lizard,rat,goldfish
frog,butterfly,spider,fox,sheep,dog,snail,lizard,goldfish
giraffe,goldfish,bear,shark,cow,pigeon,tiger,eagle,crocodile
duck,dolphin,goat,elephant,fox,snail,monkey,rat,cat
spider,pigeon,bear,crocodile,shark,butterfly,whale,goldfish,eagle
turkey,dolphin,lizard,sparrow,dog,goat,butterfly,cow,owl
