text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,text_ref.started,text_ref.stopped,participant,session,date,expName,psychopyVersion,frameRate
296.4681532,None,space,8.097637817,296.4681532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,304.689756,None,304.689756,None,-0.29,0.253333333,1,0,0,18.73126525,stim4,0.001745969,None,304.689756,None,304.689756,None,304.689756,None,304.689756,None,304.689756,None,304.689756,None,304.689756,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,337.3461296,None,337.3461296,None,0.273333333,0.263333333,1,0,0,11.66661714,stim2,0.007071918,None,337.3461296,None,337.3461296,None,337.3461296,None,337.3461296,None,337.3461296,None,337.3461296,None,337.3461296,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,364.7813234,None,364.7813234,None,0.292222222,0.263333333,1,0,0,8.591623242,stim2,0.003960408,None,364.7813234,None,364.7813234,None,364.7813234,None,364.7813234,None,364.7813234,None,364.7813234,None,364.7813234,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,385.8948666,None,385.8948666,None,-0.38,0,1,0,0,14.97960922,stim5,0.006930245,None,385.8948666,None,385.8948666,None,385.8948666,None,385.8948666,None,385.8948666,None,385.8948666,None,385.8948666,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,421.1462301,None,421.1462301,None,0.267777778,0.27,1,0,0,17.05380741,stim2,0.008030349,None,421.1462301,None,421.1462301,None,421.1462301,None,421.1462301,None,421.1462301,None,421.1462301,None,421.1462301,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,452.6103387,None,452.6103387,None,0.268888889,-0.273333333,1,0,0,19.52282995,stim8,0.001776511,None,452.6103387,None,452.6103387,None,452.6103387,None,452.6103387,None,452.6103387,None,452.6103387,None,452.6103387,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,490.410187,None,490.410187,None,-0.013333333,0.367777778,1,0,0,8.157491317,stim3,0.016612114,None,490.410187,None,490.410187,None,490.410187,None,490.410187,None,490.410187,None,490.410187,None,490.410187,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,521.830241,None,521.830241,None,-0.283333333,-0.266666667,1,0,0,20.39174463,stim6,0.005064384,None,521.830241,None,521.830241,None,521.830241,None,521.830241,None,521.830241,None,521.830241,None,521.830241,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,555.8622455,None,555.8622455,None,-0.007777778,-0.381111111,1,0,0,5.22454122,stim7,0.005118049,None,555.8622455,None,555.8622455,None,555.8622455,None,555.8622455,None,555.8622455,None,555.8622455,None,555.8622455,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,573.3923711,None,573.3923711,None,-0.017777778,-0.366666667,1,0,0,3.935807013,stim7,0.016462861,None,573.3923711,None,573.3923711,None,573.3923711,None,573.3923711,None,573.3923711,None,573.3923711,None,573.3923711,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,594.8934812,None,594.8934812,None,0.388888889,-0.008888889,1,0,0,13.43952886,stim1,0.003184205,None,594.8934812,None,594.8934812,None,594.8934812,None,594.8934812,None,594.8934812,None,594.8934812,None,594.8934812,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,627.7789523,None,627.7789523,None,-0.001111111,-0.378888889,1,0,0,32.59356682,stim7,0.004054459,None,627.7789523,None,627.7789523,None,627.7789523,None,627.7789523,None,627.7789523,None,627.7789523,None,627.7789523,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,676.3072717,None,676.3072717,None,0.016666667,-0.383333333,1,0,0,18.14825937,stim7,0.00984309,None,676.3072717,None,676.3072717,None,676.3072717,None,676.3072717,None,676.3072717,None,676.3072717,None,676.3072717,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,710.7074322,None,710.7074322,None,-0.255555556,-0.271111111,1,0,0,8.446200704,stim6,0.001713303,None,710.7074322,None,710.7074322,None,710.7074322,None,710.7074322,None,710.7074322,None,710.7074322,None,710.7074322,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,765.8071133,None,765.8071133,None,-0.234444444,0.255555556,1,0,0,10.46450519,stim4,0.005890736,None,765.8071133,None,765.8071133,None,765.8071133,None,765.8071133,None,765.8071133,None,765.8071133,None,765.8071133,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,796.9241137,None,796.9241137,None,-0.007777778,-0.388888889,1,0,0,17.09692927,stim7,0.007106586,None,796.9241137,None,796.9241137,None,796.9241137,None,796.9241137,None,796.9241137,None,796.9241137,None,796.9241137,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,837.3719362,None,837.3719362,None,-0.373333333,0,1,0,0,9.107124817,stim5,0.004076481,None,837.3719362,None,837.3719362,None,837.3719362,None,837.3719362,None,837.3719362,None,837.3719362,None,837.3719362,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,867.9718433,None,867.9718433,None,0.356666667,0.004444444,1,0,0,7.262987084,stim1,0.008353695,None,867.9718433,None,867.9718433,None,867.9718433,None,867.9718433,None,867.9718433,None,867.9718433,None,867.9718433,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,893.7049821,None,893.7049821,None,-0.001111111,-0.387777778,1,0,0,11.36926114,stim7,0.008640448,None,893.7049821,None,893.7049821,None,893.7049821,None,893.7049821,None,893.7049821,None,893.7049821,None,893.7049821,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,922.9752195,None,922.9752195,None,0.368888889,-0.01,1,0,0,56.28994576,stim1,0.004031755,None,922.9752195,None,922.9752195,None,922.9752195,None,922.9752195,None,922.9752195,None,922.9752195,None,922.9752195,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,997.3709817,None,997.3709817,None,-0.364444444,0,1,0,0,5.932663754,stim5,0.00706175,None,997.3709817,None,997.3709817,None,997.3709817,None,997.3709817,None,997.3709817,None,997.3709817,None,997.3709817,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1023.338724,None,1023.338724,None,-0.363333333,-0.005555556,1,0,0,13.37438907,stim5,0.004575708,None,1023.338724,None,1023.338724,None,1023.338724,None,1023.338724,None,1023.338724,None,1023.338724,None,1023.338724,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1057.286405,None,1057.286405,None,-0.378888889,-0.01,1,0,0,15.40543154,stim5,0.000738533,None,1057.286405,None,1057.286405,None,1057.286405,None,1057.286405,None,1057.286405,None,1057.286405,None,1057.286405,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1095.971595,None,1095.971595,None,-0.263333333,-0.273333333,1,0,0,4.387244258,stim6,0.00318522,None,1095.971595,None,1095.971595,None,1095.971595,None,1095.971595,None,1095.971595,None,1095.971595,None,1095.971595,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1118.168285,None,1118.168285,None,-0.016666667,-0.385555556,1,0,0,14.2476037,stim7,0.003863159,None,1118.168285,None,1118.168285,None,1118.168285,None,1118.168285,None,1118.168285,None,1118.168285,None,1118.168285,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1162.068322,None,1162.068322,None,0.342222222,-0.014444444,1,0,0,41.0027417,stim1,0.003067063,None,1162.068322,None,1162.068322,None,1162.068322,None,1162.068322,None,1162.068322,None,1162.068322,None,1162.068322,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1218.917371,None,1218.917371,None,-0.262222222,0.251111111,1,0,0,14.8905357,stim4,0.006609598,None,1218.917371,None,1218.917371,None,1218.917371,None,1218.917371,None,1218.917371,None,1218.917371,None,1218.917371,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1253.366908,None,1253.366908,None,-0.007777778,0.365555556,1,0,0,9.192176259,stim3,0.002797251,None,1253.366908,None,1253.366908,None,1253.366908,None,1253.366908,None,1253.366908,None,1253.366908,None,1253.366908,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1281.099949,None,1281.099949,None,0.287777778,0.257777778,1,0,0,29.43114083,stim2,0.001715041,None,1281.099949,None,1281.099949,None,1281.099949,None,1281.099949,None,1281.099949,None,1281.099949,None,1281.099949,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1325.366165,None,1325.366165,None,0.012222222,0.374444444,1,0,0,24.54342847,stim3,0.008786199,None,1325.366165,None,1325.366165,None,1325.366165,None,1325.366165,None,1325.366165,None,1325.366165,None,1325.366165,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1364.46677,None,1364.46677,None,-0.002222222,0.353333333,1,0,0,4.835333699,stim3,0.007828201,None,1364.46677,None,1364.46677,None,1364.46677,None,1364.46677,None,1364.46677,None,1364.46677,None,1364.46677,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1400.984569,None,1400.984569,None,0.362222222,-0.004444444,1,0,0,7.025840635,stim1,0.005983222,None,1400.984569,None,1400.984569,None,1400.984569,None,1400.984569,None,1400.984569,None,1400.984569,None,1400.984569,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1434.264337,None,1434.264337,None,0.347777778,0.001111111,1,0,0,15.2039255,stim1,0.001705804,None,1434.264337,None,1434.264337,None,1434.264337,None,1434.264337,None,1434.264337,None,1434.264337,None,1434.264337,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1468.580464,None,1468.580464,None,0.252222222,0.268888889,1,0,0,0.785100066,stim2,0.003264683,None,1468.580464,None,1468.580464,None,1468.580464,None,1468.580464,None,1468.580464,None,1468.580464,None,1468.580464,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1520.965802,None,1520.965802,None,0.273333333,0.273333333,1,0,0,19.94128493,stim2,0.00587372,None,1520.965802,None,1520.965802,None,1520.965802,None,1520.965802,None,1520.965802,None,1520.965802,None,1520.965802,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1554.429172,None,1554.429172,None,0,-0.381111111,1,0,0,9.440557772,stim7,0.016637486,None,1554.429172,None,1554.429172,None,1554.429172,None,1554.429172,None,1554.429172,None,1554.429172,None,1554.429172,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1583.032662,None,1583.032662,None,-0.245555556,0.256666667,1,0,0,9.975549231,stim4,0.005816989,None,1583.032662,None,1583.032662,None,1583.032662,None,1583.032662,None,1583.032662,None,1583.032662,None,1583.032662,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1606.195167,None,1606.195167,None,0.276666667,0.264444444,1,0,0,4.88261536,stim2,0.002811086,None,1606.195167,None,1606.195167,None,1606.195167,None,1606.195167,None,1606.195167,None,1606.195167,None,1606.195167,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1627.927999,None,1627.927999,None,-0.015555556,-0.383333333,1,0,0,59.42668677,stim7,0.001807371,None,1627.927999,None,1627.927999,None,1627.927999,None,1627.927999,None,1627.927999,None,1627.927999,None,1627.927999,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1703.944684,None,1703.944684,None,0.274444444,-0.281111111,1,0,0,16.78771267,stim8,0.001176008,None,1703.944684,None,1703.944684,None,1703.944684,None,1703.944684,None,1703.944684,None,1703.944684,None,1703.944684,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1740.811618,None,1740.811618,None,0.273333333,-0.277777778,1,0,0,7.009191596,stim8,0.007513281,None,1740.811618,None,1740.811618,None,1740.811618,None,1740.811618,None,1740.811618,None,1740.811618,None,1740.811618,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1777.579851,None,1777.579851,None,-0.36,-0.003333333,1,0,0,7.293365331,stim5,0.005608409,None,1777.579851,None,1777.579851,None,1777.579851,None,1777.579851,None,1777.579851,None,1777.579851,None,1777.579851,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1805.99294,None,1805.99294,None,-0.006666667,-0.374444444,1,0,0,8.277557296,stim7,0.000381397,None,1805.99294,None,1805.99294,None,1805.99294,None,1805.99294,None,1805.99294,None,1805.99294,None,1805.99294,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1843.448239,None,1843.448239,None,-0.224444444,0.252222222,1,0,0,13.09822956,stim4,0.00400527,None,1843.448239,None,1843.448239,None,1843.448239,None,1843.448239,None,1843.448239,None,1843.448239,None,1843.448239,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1872.024578,None,1872.024578,None,0.018888889,0.367777778,1,0,0,12.31605909,stim3,0.004838634,None,1872.024578,None,1872.024578,None,1872.024578,None,1872.024578,None,1872.024578,None,1872.024578,None,1872.024578,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
,,,,,,1902.457943,None,1902.457943,None,-0.354444444,-0.006666667,1,0,0,8.308509963,stim5,0.01000205,None,1902.457943,None,1902.457943,None,1902.457943,None,1902.457943,None,1902.457943,None,1902.457943,None,1902.457943,None,S7,4,2020_May_27_1606,word_exp,2020.1.0,None
