ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
crocodile,pigeon,sheep,ladybug,turkey,cow,goldfish,goat,dolphin,"['stim8', 'stim6', 'stim3', 'stim7', 'stim5', 'stim2', 'stim4', 'stim1']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
giraffe,goldfish,pigeon,tiger,cow,shark,eagle,crocodile,bear,"['stim3', 'stim4', 'stim8', 'stim7', 'stim6', 'stim2', 'stim1', 'stim5']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
sparrow,bat,bear,giraffe,dolphin,sheep,goldfish,tiger,snake,"['stim1', 'stim6', 'stim7', 'stim2', 'stim3', 'stim5', 'stim8', 'stim4']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
goat,tiger,snake,monkey,fox,dog,pigeon,lizard,shark,"['stim5', 'stim1', 'stim4', 'stim3', 'stim7', 'stim6', 'stim2', 'stim8']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
frog,ladybug,dolphin,elephant,monkey,shark,rat,whale,eagle,"['stim2', 'stim7', 'stim3', 'stim1', 'stim5', 'stim6', 'stim4', 'stim8']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
sparrow,dog,turkey,pigeon,turtle,hog,shark,cat,goat,"['stim3', 'stim2', 'stim7', 'stim1', 'stim8', 'stim5', 'stim4', 'stim6']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
fox,dog,snake,eagle,pigeon,sparrow,horse,frog,bluebird,"['stim1', 'stim6', 'stim7', 'stim3', 'stim5', 'stim4', 'stim8', 'stim2']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
tiger,sparrow,elephant,monkey,giraffe,ladybug,cow,dolphin,sheep,"['stim6', 'stim8', 'stim4', 'stim3', 'stim2', 'stim5', 'stim1', 'stim7']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
butterfly,goldfish,mouse,eagle,fox,ladybug,cow,frog,duck,"['stim5', 'stim3', 'stim1', 'stim8', 'stim2', 'stim7', 'stim4', 'stim6']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
snail,turkey,pigeon,monkey,cat,ladybug,sparrow,fox,duck,"['stim5', 'stim6', 'stim8', 'stim2', 'stim1', 'stim4', 'stim3', 'stim7']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
duck,turkey,turtle,cow,lizard,tiger,pigeon,bear,frog,"['stim1', 'stim6', 'stim2', 'stim8', 'stim4', 'stim3', 'stim5', 'stim7']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
sheep,turkey,hog,dog,dolphin,goat,fox,horse,rat,"['stim5', 'stim2', 'stim3', 'stim6', 'stim7', 'stim8', 'stim1', 'stim4']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
mouse,monkey,butterfly,bear,lizard,fox,hog,sparrow,ladybug,"['stim7', 'stim5', 'stim3', 'stim6', 'stim1', 'stim4', 'stim8', 'stim2']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
ant,goldfish,ladybug,pigeon,spider,eagle,snake,monkey,sparrow,"['stim4', 'stim2', 'stim1', 'stim6', 'stim8', 'stim3', 'stim5', 'stim7']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
cow,giraffe,owl,ant,horse,cat,hog,butterfly,bear,"['stim6', 'stim4', 'stim8', 'stim1', 'stim5', 'stim3', 'stim2', 'stim7']",S4,2,2021_Jun_17_1404,word_exp,2020.1.0,60.19491148
