ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
elephant,shark,monkey,bat,snail,turkey,cat,tiger,butterfly,"['stim1', 'stim7', 'stim2', 'stim5', 'stim6', 'stim3', 'stim4', 'stim8']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
sparrow,pigeon,turkey,goat,turtle,dog,cat,hog,shark,"['stim1', 'stim2', 'stim4', 'stim6', 'stim5', 'stim7', 'stim3', 'stim8']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
owl,frog,mouse,elephant,sparrow,turkey,cow,eagle,ant,"['stim4', 'stim5', 'stim7', 'stim2', 'stim1', 'stim8', 'stim6', 'stim3']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
crocodile,dog,fox,horse,turtle,hog,snake,spider,shark,"['stim6', 'stim8', 'stim3', 'stim5', 'stim2', 'stim1', 'stim4', 'stim7']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
ladybug,cat,owl,bat,bluebird,shark,lizard,ant,goldfish,"['stim7', 'stim8', 'stim4', 'stim2', 'stim3', 'stim1', 'stim6', 'stim5']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
whale,horse,dolphin,rat,sheep,eagle,fox,cat,ant,"['stim2', 'stim1', 'stim4', 'stim6', 'stim5', 'stim7', 'stim3', 'stim8']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
pigeon,spider,whale,eagle,horse,tiger,ladybug,turtle,snail,"['stim3', 'stim1', 'stim8', 'stim6', 'stim7', 'stim4', 'stim5', 'stim2']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
turtle,cow,ant,cat,snake,elephant,snail,duck,sparrow,"['stim6', 'stim4', 'stim8', 'stim7', 'stim3', 'stim1', 'stim5', 'stim2']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
goldfish,cat,elephant,cow,whale,monkey,spider,hog,lizard,"['stim6', 'stim8', 'stim1', 'stim7', 'stim5', 'stim3', 'stim2', 'stim4']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,"['stim7', 'stim6', 'stim2', 'stim3', 'stim4', 'stim1', 'stim8', 'stim5']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
sheep,ant,bluebird,butterfly,duck,cow,goldfish,elephant,bat,"['stim4', 'stim5', 'stim1', 'stim6', 'stim3', 'stim2', 'stim8', 'stim7']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
fox,ladybug,dolphin,bat,ant,goat,turtle,cat,lizard,"['stim5', 'stim7', 'stim6', 'stim8', 'stim3', 'stim1', 'stim4', 'stim2']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
snake,bear,lizard,elephant,eagle,hog,cat,turkey,crocodile,"['stim2', 'stim8', 'stim4', 'stim6', 'stim7', 'stim5', 'stim1', 'stim3']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
duck,eagle,goldfish,turkey,lizard,ant,sheep,horse,butterfly,"['stim3', 'stim1', 'stim8', 'stim6', 'stim7', 'stim4', 'stim2', 'stim5']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
eagle,elephant,owl,ant,horse,fox,snake,dog,ladybug,"['stim2', 'stim8', 'stim3', 'stim7', 'stim5', 'stim6', 'stim4', 'stim1']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
snake,spider,pigeon,mouse,bluebird,ant,rat,goldfish,goat,"['stim2', 'stim8', 'stim6', 'stim3', 'stim4', 'stim1', 'stim7', 'stim5']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
duck,dog,cow,spider,crocodile,mouse,giraffe,turtle,shark,"['stim5', 'stim7', 'stim3', 'stim1', 'stim6', 'stim2', 'stim8', 'stim4']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
ladybug,shark,dolphin,hog,duck,mouse,eagle,fox,cat,"['stim5', 'stim4', 'stim8', 'stim6', 'stim7', 'stim3', 'stim2', 'stim1']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
tiger,frog,bluebird,bear,duck,butterfly,owl,turkey,spider,"['stim3', 'stim7', 'stim4', 'stim6', 'stim2', 'stim1', 'stim5', 'stim8']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
giraffe,bat,duck,crocodile,pigeon,monkey,goat,turkey,ladybug,"['stim6', 'stim5', 'stim3', 'stim7', 'stim2', 'stim4', 'stim1', 'stim8']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
frog,turkey,sparrow,bear,bat,duck,ant,hog,cat,"['stim6', 'stim5', 'stim4', 'stim2', 'stim1', 'stim8', 'stim7', 'stim3']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,"['stim2', 'stim8', 'stim5', 'stim6', 'stim7', 'stim3', 'stim4', 'stim1']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,"['stim7', 'stim3', 'stim6', 'stim8', 'stim4', 'stim1', 'stim5', 'stim2']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
whale,hog,bluebird,bat,spider,giraffe,tiger,pigeon,snail,"['stim5', 'stim6', 'stim1', 'stim7', 'stim2', 'stim3', 'stim8', 'stim4']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
eagle,cat,butterfly,whale,mouse,pigeon,duck,goat,hog,"['stim6', 'stim5', 'stim2', 'stim4', 'stim1', 'stim8', 'stim7', 'stim3']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
dog,spider,snake,duck,sheep,crocodile,snail,horse,turkey,"['stim7', 'stim4', 'stim8', 'stim3', 'stim5', 'stim2', 'stim1', 'stim6']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
tiger,pigeon,frog,snail,shark,mouse,cat,owl,lizard,"['stim6', 'stim4', 'stim7', 'stim1', 'stim5', 'stim8', 'stim2', 'stim3']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,"['stim6', 'stim8', 'stim5', 'stim4', 'stim3', 'stim7', 'stim2', 'stim1']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
goat,whale,ant,hog,eagle,bear,turtle,cow,ladybug,"['stim3', 'stim7', 'stim5', 'stim4', 'stim6', 'stim8', 'stim2', 'stim1']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
sparrow,monkey,eagle,rat,bluebird,snail,lizard,ant,horse,"['stim4', 'stim2', 'stim3', 'stim5', 'stim8', 'stim1', 'stim6', 'stim7']",S1,2,2020_May_03_1201,word_exp,2020.1.0,59.17892389
