ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
cat,rat,snail,frog,ant,pigeon,bear,giraffe,eagle
cat,goat,frog,whale,snake,duck,lizard,eagle,cow
dog,sheep,lizard,elephant,duck,turtle,frog,ladybug,mouse
dog,dolphin,pigeon,whale,lizard,mouse,goat,crocodile,shark
dog,fox,whale,giraffe,turkey,monkey,goat,bear,hog
dog,tiger,snake,eagle,monkey,butterfly,giraffe,bat,cat
dog,cow,horse,ant,bat,spider,snail,sparrow,tiger
dog,horse,bluebird,ant,goldfish,owl,sheep,ladybug,rat
fox,duck,bluebird,sheep,elephant,rat,eagle,mouse,monkey
fox,tiger,sheep,pigeon,spider,butterfly,snake,elephant,cat
fox,shark,snake,whale,goldfish,butterfly,ladybug,crocodile,cow
fox,turkey,dog,ladybug,crocodile,giraffe,hog,sparrow,owl
fox,dog,turtle,frog,horse,goat,sparrow,dolphin,lizard
fox,duck,turtle,ant,monkey,bear,dolphin,bat,snail
goat,ant,sparrow,tiger,elephant,butterfly,pigeon,ladybug,snake
goat,hog,butterfly,lizard,bear,sheep,sparrow,fox,cow
goat,cat,lizard,turtle,bluebird,hog,shark,whale,bat
goat,eagle,rat,bat,giraffe,mouse,goldfish,whale,monkey
goat,owl,horse,rat,dolphin,frog,snail,monkey,spider
goat,crocodile,frog,snake,turkey,dog,horse,duck,ant
sheep,dolphin,turkey,frog,bluebird,eagle,ant,pigeon,shark
sheep,lizard,dolphin,fox,giraffe,frog,bear,snail,goat
sheep,monkey,cow,whale,ladybug,tiger,snail,goat,turtle
sheep,bat,ladybug,elephant,cat,horse,hog,rat,tiger
sheep,bat,mouse,butterfly,goldfish,horse,dog,sparrow,spider
sheep,sparrow,bluebird,goldfish,crocodile,ant,snake,duck,owl
hog,cow,dolphin,monkey,butterfly,ladybug,fox,lizard,giraffe
hog,whale,bluebird,monkey,crocodile,elephant,goldfish,cat,lizard
hog,snail,sparrow,rat,goldfish,goat,bluebird,owl,bat
hog,shark,ant,eagle,turtle,rat,bat,frog,turkey
hog,tiger,snake,pigeon,bear,sheep,turtle,mouse,frog
hog,duck,snake,fox,dog,horse,spider,tiger,cow
cow,crocodile,lizard,dog,horse,dolphin,ant,rat,turkey
cow,goat,turkey,dolphin,bear,duck,cat,butterfly,ladybug
cow,whale,tiger,fox,bear,frog,monkey,bat,butterfly
cow,bluebird,giraffe,snake,whale,monkey,elephant,sheep,pigeon
cow,owl,giraffe,shark,eagle,goldfish,sheep,mouse,turtle
cow,hog,dog,snail,spider,shark,goldfish,crocodile,sparrow
horse,crocodile,tiger,shark,cow,turtle,monkey,giraffe,hog
horse,butterfly,owl,elephant,spider,bat,turtle,crocodile,dolphin
horse,elephant,bear,turkey,spider,whale,cat,goat,pigeon
horse,sheep,pigeon,goat,fox,dog,duck,goldfish,eagle
horse,duck,snail,sparrow,goldfish,ladybug,bluebird,frog,snake
horse,hog,mouse,sparrow,lizard,rat,ant,tiger,ladybug
giraffe,turtle,fox,bat,dolphin,sparrow,bluebird,goat,frog
giraffe,snake,horse,whale,bat,monkey,mouse,owl,frog
giraffe,mouse,monkey,bear,ladybug,eagle,sheep,butterfly,dog
giraffe,elephant,hog,goldfish,cow,ladybug,butterfly,snail,spider
giraffe,ant,shark,cow,hog,pigeon,turkey,tiger,cat
giraffe,turkey,crocodile,ant,lizard,goat,turtle,duck,rat
elephant,whale,tiger,rat,turkey,duck,turtle,goldfish,frog
elephant,cat,goldfish,ladybug,monkey,bluebird,dog,turtle,sparrow
elephant,snake,cat,cow,shark,giraffe,ladybug,dolphin,hog
elephant,fox,shark,snake,spider,lizard,goat,owl,mouse
elephant,bat,lizard,pigeon,butterfly,owl,snail,bear,eagle
elephant,crocodile,turkey,bat,horse,sheep,rat,ant,pigeon
monkey,eagle,rat,cow,owl,turkey,dog,snake,horse
monkey,lizard,whale,rat,ladybug,butterfly,cat,ant,dog
monkey,cat,sparrow,ladybug,duck,elephant,spider,goldfish,turtle
monkey,dolphin,giraffe,spider,turtle,bat,mouse,fox,shark
monkey,bluebird,tiger,hog,sheep,frog,giraffe,mouse,goat
monkey,bluebird,bear,hog,crocodile,pigeon,snail,horse,turkey
tiger,bluebird,giraffe,dolphin,turkey,fox,frog,snake,owl
tiger,ladybug,hog,sparrow,cow,crocodile,snake,eagle,turkey
tiger,shark,horse,lizard,crocodile,hog,spider,rat,dog
tiger,bear,lizard,dog,sheep,ant,snail,elephant,cat
tiger,goat,ant,butterfly,whale,duck,monkey,elephant,pigeon
tiger,goldfish,pigeon,turtle,owl,bat,giraffe,mouse,butterfly
ant,owl,whale,goat,tiger,crocodile,spider,lizard,bluebird
ant,owl,pigeon,giraffe,turtle,goldfish,bat,spider,horse
ant,frog,bat,snail,sheep,butterfly,dolphin,mouse,goldfish
ant,monkey,turkey,shark,cow,sheep,snail,rat,snake
ant,snake,duck,elephant,turkey,fox,dog,bear,hog
ant,sparrow,lizard,fox,duck,ladybug,eagle,cat,goat
butterfly,sparrow,cow,pigeon,turtle,shark,bluebird,rat,duck
butterfly,sparrow,spider,cat,eagle,snail,sheep,pigeon,snake
butterfly,dolphin,ant,snake,spider,monkey,lizard,goat,bear
butterfly,elephant,whale,fox,horse,ant,hog,dolphin,ladybug
butterfly,goldfish,whale,crocodile,mouse,dog,owl,elephant,bat
butterfly,rat,duck,turkey,tiger,owl,frog,bat,giraffe
ladybug,butterfly,horse,crocodile,rat,dog,duck,fox,whale
ladybug,whale,butterfly,cat,bear,monkey,dolphin,snail,shark
ladybug,dolphin,owl,bat,bear,elephant,goldfish,goat,turkey
ladybug,bat,hog,eagle,sheep,pigeon,lizard,giraffe,goat
ladybug,eagle,frog,spider,cow,turtle,snake,tiger,sheep
ladybug,sparrow,horse,mouse,ant,snake,bluebird,duck,frog
spider,fox,goat,hog,snake,bear,mouse,sheep,frog
spider,owl,sparrow,hog,butterfly,rat,ladybug,bat,frog
spider,rat,tiger,bluebird,giraffe,elephant,shark,pigeon,sparrow
spider,giraffe,crocodile,shark,dog,ant,duck,dolphin,snail
spider,cat,ant,whale,cow,dog,eagle,goldfish,horse
spider,lizard,turkey,horse,turtle,sheep,bear,monkey,cat
snail,horse,monkey,shark,ladybug,spider,dog,cow,whale
snail,elephant,turtle,spider,dolphin,lizard,bear,mouse,monkey
snail,sheep,pigeon,eagle,bear,fox,bluebird,dolphin,butterfly
snail,goat,eagle,goldfish,fox,ant,hog,sparrow,tiger
snail,owl,cat,sparrow,crocodile,turkey,hog,rat,snake
snail,giraffe,frog,bat,crocodile,duck,dog,rat,horse
turtle,monkey,shark,fox,dog,duck,bluebird,spider,tiger
turtle,elephant,sheep,turkey,dog,pigeon,fox,goat,horse
turtle,bear,ant,lizard,mouse,horse,snake,sheep,giraffe
turtle,butterfly,ant,hog,giraffe,cat,owl,dolphin,snail
turtle,cow,frog,eagle,butterfly,whale,rat,bat,hog
turtle,sparrow,crocodile,eagle,goldfish,duck,ladybug,spider,frog
frog,fox,hog,bear,duck,crocodile,ant,cow,bluebird
frog,tiger,eagle,hog,dog,sheep,cow,monkey,rat
frog,butterfly,turtle,owl,turkey,tiger,eagle,snail,ladybug
frog,dolphin,sparrow,turtle,giraffe,ladybug,shark,spider,goat
frog,spider,horse,lizard,pigeon,elephant,cat,giraffe,bat
frog,goldfish,mouse,elephant,snake,bluebird,lizard,whale,crocodile
lizard,turkey,snake,mouse,horse,turtle,giraffe,tiger,sparrow
lizard,crocodile,spider,snake,sheep,owl,butterfly,sparrow,eagle
lizard,bluebird,spider,goldfish,bat,dolphin,dog,sheep,hog
lizard,whale,shark,goldfish,duck,ladybug,hog,fox,snail
lizard,elephant,cow,monkey,shark,cat,rat,whale,frog
lizard,cat,monkey,turtle,bear,pigeon,goat,ant,horse
snake,bear,ant,sheep,spider,bat,snail,tiger,eagle
snake,mouse,cat,elephant,spider,cow,lizard,tiger,rat
snake,elephant,crocodile,horse,giraffe,owl,duck,monkey,mouse
snake,goldfish,dolphin,shark,whale,dog,owl,goat,horse
snake,frog,dog,ladybug,turtle,whale,sparrow,bluebird,pigeon
snake,turkey,turtle,hog,bear,fox,pigeon,bat,butterfly
crocodile,butterfly,lizard,giraffe,pigeon,bear,rat,whale,turkey
crocodile,elephant,turkey,hog,horse,monkey,shark,spider,butterfly
crocodile,elephant,ant,snail,goldfish,eagle,cow,horse,ladybug
crocodile,sheep,snail,owl,ladybug,bat,goat,cat,mouse
crocodile,frog,goat,mouse,tiger,turtle,sparrow,snake,bluebird
crocodile,frog,bear,whale,duck,dolphin,dog,fox,snake
