ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
horse,goat,owl,turtle,giraffe,crocodile,turkey,sheep,bluebird,"['stim4', 'stim7', 'stim1', 'stim5', 'stim3', 'stim6', 'stim2', 'stim8']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
eagle,bluebird,bat,spider,tiger,owl,dolphin,rat,fox,"['stim5', 'stim1', 'stim2', 'stim7', 'stim8', 'stim4', 'stim3', 'stim6']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
turkey,horse,ant,tiger,eagle,duck,monkey,bat,ladybug,"['stim5', 'stim4', 'stim7', 'stim8', 'stim6', 'stim1', 'stim3', 'stim2']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
bat,fox,rat,turtle,crocodile,lizard,snake,snail,sheep,"['stim2', 'stim8', 'stim5', 'stim3', 'stim4', 'stim1', 'stim7', 'stim6']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
snail,eagle,hog,bat,whale,bear,butterfly,snake,elephant,"['stim7', 'stim3', 'stim2', 'stim4', 'stim8', 'stim6', 'stim1', 'stim5']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
giraffe,goat,turkey,pigeon,monkey,duck,bat,crocodile,ladybug,"['stim4', 'stim1', 'stim7', 'stim6', 'stim2', 'stim5', 'stim3', 'stim8']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
dolphin,fox,tiger,goat,bat,ladybug,bear,turtle,sheep,"['stim7', 'stim6', 'stim3', 'stim2', 'stim1', 'stim8', 'stim4', 'stim5']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
dolphin,frog,duck,bluebird,cow,ant,tiger,turtle,spider,"['stim1', 'stim7', 'stim6', 'stim4', 'stim2', 'stim5', 'stim8', 'stim3']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
butterfly,monkey,sparrow,snake,dolphin,whale,cat,horse,giraffe,"['stim3', 'stim2', 'stim1', 'stim6', 'stim7', 'stim8', 'stim4', 'stim5']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
bluebird,fox,crocodile,bat,frog,dolphin,goldfish,turtle,hog,"['stim3', 'stim4', 'stim7', 'stim6', 'stim8', 'stim2', 'stim1', 'stim5']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
fox,sheep,spider,mouse,hog,ant,cat,elephant,snail,"['stim6', 'stim1', 'stim4', 'stim7', 'stim3', 'stim2', 'stim8', 'stim5']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
duck,goat,owl,whale,bluebird,sheep,horse,bat,snail,"['stim4', 'stim7', 'stim2', 'stim3', 'stim1', 'stim5', 'stim6', 'stim8']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
horse,monkey,pigeon,snake,bear,dolphin,sparrow,elephant,cow,"['stim7', 'stim8', 'stim1', 'stim4', 'stim5', 'stim2', 'stim6', 'stim3']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
spider,monkey,shark,frog,duck,ladybug,giraffe,rat,butterfly,"['stim5', 'stim8', 'stim7', 'stim3', 'stim4', 'stim1', 'stim6', 'stim2']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
goat,frog,monkey,bat,sparrow,turkey,tiger,owl,goldfish,"['stim2', 'stim6', 'stim3', 'stim5', 'stim1', 'stim7', 'stim4', 'stim8']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
owl,eagle,monkey,dog,bear,frog,dolphin,butterfly,rat,"['stim1', 'stim7', 'stim2', 'stim3', 'stim4', 'stim8', 'stim5', 'stim6']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
hog,goat,fox,horse,sparrow,ladybug,bear,goldfish,turkey,"['stim1', 'stim2', 'stim3', 'stim6', 'stim8', 'stim4', 'stim5', 'stim7']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
ladybug,butterfly,cow,goldfish,turkey,bluebird,crocodile,horse,sparrow,"['stim1', 'stim4', 'stim3', 'stim5', 'stim8', 'stim2', 'stim7', 'stim6']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
goldfish,frog,snail,eagle,shark,dolphin,snake,ladybug,turkey,"['stim5', 'stim1', 'stim4', 'stim2', 'stim6', 'stim7', 'stim3', 'stim8']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
snail,fox,ladybug,cat,turkey,pigeon,monkey,duck,sparrow,"['stim2', 'stim3', 'stim7', 'stim1', 'stim4', 'stim6', 'stim8', 'stim5']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
dolphin,horse,whale,sparrow,monkey,shark,cow,frog,snake,"['stim2', 'stim5', 'stim7', 'stim8', 'stim1', 'stim4', 'stim6', 'stim3']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
dog,whale,hog,turkey,butterfly,bat,elephant,goat,crocodile,"['stim7', 'stim2', 'stim6', 'stim5', 'stim1', 'stim8', 'stim3', 'stim4']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
shark,sparrow,monkey,giraffe,bat,mouse,crocodile,butterfly,fox,"['stim6', 'stim8', 'stim2', 'stim3', 'stim5', 'stim4', 'stim1', 'stim7']",S4,4,2021_Jun_29_1059,word_exp,2020.1.0,59.9771288
