ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
sparrow,ladybug,owl,butterfly,goldfish,goat,dog,dolphin,fox,"['stim2', 'stim1', 'stim3', 'stim5', 'stim6', 'stim8', 'stim4', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
frog,rat,fox,goat,mouse,bluebird,eagle,butterfly,crocodile,"['stim1', 'stim4', 'stim8', 'stim3', 'stim2', 'stim6', 'stim7', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
goldfish,tiger,fox,owl,bear,rat,bat,giraffe,horse,"['stim5', 'stim6', 'stim2', 'stim8', 'stim7', 'stim1', 'stim4', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bear,frog,snail,goat,butterfly,pigeon,bat,goldfish,cat,"['stim3', 'stim8', 'stim6', 'stim1', 'stim2', 'stim5', 'stim4', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ant,bat,sheep,whale,lizard,dog,dolphin,mouse,shark,"['stim7', 'stim1', 'stim5', 'stim4', 'stim2', 'stim6', 'stim8', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
cow,crocodile,duck,goat,snail,sheep,shark,whale,spider,"['stim3', 'stim5', 'stim7', 'stim1', 'stim6', 'stim2', 'stim8', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
elephant,frog,crocodile,sheep,horse,pigeon,bear,turtle,dolphin,"['stim2', 'stim4', 'stim6', 'stim7', 'stim8', 'stim3', 'stim1', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
horse,fox,monkey,bat,eagle,mouse,tiger,cow,whale,"['stim8', 'stim2', 'stim6', 'stim1', 'stim7', 'stim5', 'stim3', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
snail,monkey,fox,ladybug,turkey,cat,duck,sparrow,pigeon,"['stim3', 'stim6', 'stim7', 'stim8', 'stim5', 'stim2', 'stim1', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ladybug,shark,eagle,fox,mouse,duck,hog,cat,dolphin,"['stim4', 'stim7', 'stim6', 'stim3', 'stim5', 'stim2', 'stim8', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
tiger,pigeon,cat,owl,mouse,shark,snail,lizard,frog,"['stim4', 'stim2', 'stim5', 'stim7', 'stim3', 'stim1', 'stim8', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
owl,dolphin,eagle,monkey,bear,dog,butterfly,rat,frog,"['stim2', 'stim6', 'stim7', 'stim3', 'stim5', 'stim4', 'stim8', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
rat,owl,dolphin,monkey,crocodile,duck,turtle,ladybug,goldfish,"['stim3', 'stim6', 'stim7', 'stim4', 'stim2', 'stim5', 'stim1', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
turtle,cow,snail,duck,elephant,snake,cat,sparrow,ant,"['stim2', 'stim5', 'stim8', 'stim4', 'stim3', 'stim6', 'stim1', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
rat,horse,bat,cat,sheep,ladybug,turtle,eagle,whale,"['stim2', 'stim4', 'stim3', 'stim1', 'stim6', 'stim5', 'stim8', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
frog,turtle,horse,dolphin,whale,giraffe,ant,duck,pigeon,"['stim1', 'stim6', 'stim7', 'stim3', 'stim4', 'stim2', 'stim8', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
shark,cat,pigeon,whale,owl,frog,spider,rat,sheep,"['stim3', 'stim5', 'stim1', 'stim8', 'stim7', 'stim6', 'stim2', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
hog,turtle,crocodile,monkey,eagle,bat,snake,giraffe,shark,"['stim2', 'stim3', 'stim7', 'stim1', 'stim6', 'stim5', 'stim4', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
goat,snail,sparrow,dolphin,sheep,giraffe,bat,spider,elephant,"['stim4', 'stim5', 'stim8', 'stim6', 'stim3', 'stim7', 'stim2', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
mouse,frog,cow,whale,dolphin,goldfish,rat,giraffe,snake,"['stim6', 'stim2', 'stim7', 'stim1', 'stim5', 'stim3', 'stim4', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
goldfish,ant,turkey,turtle,ladybug,whale,elephant,butterfly,mouse,"['stim5', 'stim3', 'stim8', 'stim4', 'stim1', 'stim7', 'stim2', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
turkey,elephant,fox,hog,crocodile,bear,goldfish,cow,lizard,"['stim3', 'stim4', 'stim2', 'stim5', 'stim7', 'stim1', 'stim8', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ladybug,crocodile,butterfly,cow,turkey,goldfish,horse,sparrow,bluebird,"['stim2', 'stim7', 'stim8', 'stim4', 'stim1', 'stim5', 'stim6', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
horse,turkey,goat,owl,giraffe,turtle,sheep,bluebird,crocodile,"['stim4', 'stim2', 'stim6', 'stim8', 'stim1', 'stim5', 'stim3', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
dog,cow,tiger,pigeon,owl,lizard,giraffe,monkey,ladybug,"['stim6', 'stim1', 'stim7', 'stim2', 'stim5', 'stim3', 'stim4', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bear,horse,rat,hog,tiger,monkey,giraffe,ladybug,turkey,"['stim4', 'stim6', 'stim5', 'stim1', 'stim3', 'stim2', 'stim8', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
goldfish,crocodile,snail,horse,snake,sparrow,sheep,bluebird,bat,"['stim4', 'stim2', 'stim8', 'stim5', 'stim7', 'stim1', 'stim6', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
snake,crocodile,horse,monkey,fox,sheep,turkey,turtle,whale,"['stim1', 'stim7', 'stim8', 'stim5', 'stim2', 'stim3', 'stim4', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
spider,fox,goat,dog,sparrow,bat,mouse,elephant,bluebird,"['stim5', 'stim4', 'stim8', 'stim6', 'stim2', 'stim3', 'stim1', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bat,goldfish,shark,whale,spider,frog,dog,hog,giraffe,"['stim6', 'stim7', 'stim8', 'stim5', 'stim3', 'stim1', 'stim4', 'stim2']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
fox,ladybug,turtle,cat,goat,ant,bat,lizard,dolphin,"['stim3', 'stim4', 'stim6', 'stim8', 'stim7', 'stim2', 'stim1', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
frog,dog,owl,snake,tiger,hog,cow,cat,snail,"['stim3', 'stim8', 'stim7', 'stim5', 'stim1', 'stim6', 'stim6', 'stim4', 'stim2']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
elephant,shark,cat,tiger,turkey,snail,bat,butterfly,monkey,"['stim3', 'stim2', 'stim8', 'stim6', 'stim4', 'stim1', 'stim5', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ant,snail,hog,whale,cat,cow,sparrow,monkey,dog,"['stim1', 'stim6', 'stim4', 'stim2', 'stim8', 'stim5', 'stim7', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
goat,whale,turtle,cow,bear,eagle,hog,ladybug,ant,"['stim6', 'stim3', 'stim4', 'stim1', 'stim2', 'stim8', 'stim7', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ant,butterfly,spider,horse,duck,goldfish,rat,fox,giraffe,"['stim1', 'stim2', 'stim6', 'stim5', 'stim4', 'stim8', 'stim3', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
frog,elephant,whale,shark,ladybug,monkey,eagle,rat,dolphin,"['stim4', 'stim7', 'stim1', 'stim8', 'stim2', 'stim3', 'stim5', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
whale,spider,hog,shark,owl,dog,turkey,turtle,mouse,"['stim3', 'stim2', 'stim5', 'stim7', 'stim8', 'stim6', 'stim1', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
snail,frog,shark,crocodile,hog,goat,bluebird,giraffe,butterfly,"['stim8', 'stim1', 'stim3', 'stim4', 'stim5', 'stim7', 'stim6', 'stim2']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
giraffe,tiger,crocodile,shark,goldfish,cow,bear,eagle,pigeon,"['stim6', 'stim5', 'stim1', 'stim2', 'stim8', 'stim7', 'stim3', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
fox,cat,sheep,spider,hog,mouse,elephant,snail,ant,"['stim1', 'stim2', 'stim4', 'stim5', 'stim6', 'stim8', 'stim3', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
owl,sheep,goat,snail,goldfish,whale,mouse,sparrow,ladybug,"['stim7', 'stim8', 'stim6', 'stim2', 'stim1', 'stim3', 'stim4', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
