ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
whale,duck,ant,butterfly,dolphin,lizard,cow,owl,shark
shark,crocodile,sparrow,monkey,bat,giraffe,butterfly,fox,mouse
hog,spider,snake,crocodile,cow,elephant,bluebird,ant,dog
turtle,bear,ladybug,eagle,owl,dog,monkey,lizard,sheep
sheep,snake,tiger,elephant,owl,shark,mouse,bluebird,cat
horse,sparrow,monkey,pigeon,bear,snake,elephant,cow,dolphin
mouse,dolphin,bluebird,sheep,owl,snake,fox,turtle,monkey
ladybug,cat,lizard,ant,shark,bluebird,bat,goldfish,owl
frog,turkey,ant,hog,duck,bat,bear,cat,sparrow
snake,frog,giraffe,cow,snail,dog,bear,shark,elephant
frog,snail,goldfish,fox,butterfly,sheep,spider,lizard,dog
lizard,dolphin,goat,goldfish,rat,tiger,whale,eagle,horse
giraffe,snail,dog,sheep,cow,elephant,bear,hog,spider
cow,goldfish,duck,frog,ladybug,shark,snake,pigeon,bat
fox,monkey,whale,duck,rat,dog,crocodile,cow,eagle
butterfly,cat,monkey,sparrow,dolphin,snake,horse,giraffe,whale
crocodile,dog,snake,spider,hog,turtle,horse,shark,fox
ant,duck,tiger,owl,elephant,bluebird,fox,goat,frog
owl,rat,dog,crocodile,turtle,cat,spider,giraffe,lizard
turtle,dolphin,ladybug,fox,monkey,bat,tiger,frog,mouse
cat,bat,ant,tiger,turkey,giraffe,snail,hog,bluebird
spider,snail,ant,dog,duck,mouse,turtle,giraffe,tiger
shark,dog,turkey,sparrow,goat,bear,whale,cat,monkey
elephant,bat,snake,mouse,dog,spider,bluebird,giraffe,monkey
eagle,dolphin,bluebird,bat,tiger,spider,rat,fox,owl
owl,hog,duck,snake,fox,horse,bat,goat,whale
sparrow,ladybug,owl,butterfly,goldfish,goat,dog,dolphin,fox
frog,rat,fox,goat,mouse,bluebird,eagle,butterfly,crocodile
goldfish,tiger,fox,owl,bear,rat,bat,giraffe,horse
bear,frog,snail,goat,butterfly,pigeon,bat,goldfish,cat
