ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
ant,bat,sheep,whale,lizard,dog,dolphin,mouse,shark
cow,crocodile,duck,goat,snail,sheep,shark,whale,spider
elephant,frog,crocodile,sheep,horse,pigeon,bear,turtle,dolphin
horse,fox,monkey,bat,eagle,mouse,tiger,cow,whale
snail,monkey,fox,ladybug,turkey,cat,duck,sparrow,pigeon
ladybug,shark,eagle,fox,mouse,duck,hog,cat,dolphin
tiger,pigeon,cat,owl,mouse,shark,snail,lizard,frog
owl,dolphin,eagle,monkey,bear,dog,butterfly,rat,frog
rat,owl,dolphin,monkey,crocodile,duck,turtle,ladybug,goldfish
turtle,cow,snail,duck,elephant,snake,cat,sparrow,ant
rat,horse,bat,cat,sheep,ladybug,turtle,eagle,whale
frog,turtle,horse,dolphin,whale,giraffe,ant,duck,pigeon
shark,cat,pigeon,whale,owl,frog,spider,rat,sheep
hog,turtle,crocodile,monkey,eagle,bat,snake,giraffe,shark
goat,snail,sparrow,dolphin,sheep,giraffe,bat,spider,elephant
mouse,frog,cow,whale,dolphin,goldfish,rat,giraffe,snake
goldfish,ant,turkey,turtle,ladybug,whale,elephant,butterfly,mouse
turkey,elephant,fox,hog,crocodile,bear,goldfish,cow,lizard
ladybug,crocodile,butterfly,cow,turkey,goldfish,horse,sparrow,bluebird
horse,turkey,goat,owl,giraffe,turtle,sheep,bluebird,crocodile
dog,cow,tiger,pigeon,owl,lizard,giraffe,monkey,ladybug
bear,horse,rat,hog,tiger,monkey,giraffe,ladybug,turkey
goldfish,crocodile,snail,horse,snake,sparrow,sheep,bluebird,bat
snake,crocodile,horse,monkey,fox,sheep,turkey,turtle,whale
spider,fox,goat,dog,sparrow,bat,mouse,elephant,bluebird
bat,goldfish,shark,whale,spider,frog,dog,hog,giraffe
fox,ladybug,turtle,cat,goat,ant,bat,lizard,dolphin
frog,dog,owl,snake,tiger,hog,cow,cat,snail
elephant,shark,cat,tiger,turkey,snail,bat,butterfly,monkey
ant,snail,hog,whale,cat,cow,sparrow,monkey,dog
goat,whale,turtle,cow,bear,eagle,hog,ladybug,ant
ant,butterfly,spider,horse,duck,goldfish,rat,fox,giraffe
frog,elephant,whale,shark,ladybug,monkey,eagle,rat,dolphin
whale,spider,hog,shark,owl,dog,turkey,turtle,mouse
snail,frog,shark,crocodile,hog,goat,bluebird,giraffe,butterfly
giraffe,tiger,crocodile,shark,goldfish,cow,bear,eagle,pigeon
fox,cat,sheep,spider,hog,mouse,elephant,snail,ant
owl,sheep,goat,snail,goldfish,whale,mouse,sparrow,ladybug
mouse,bear,sparrow,fox,monkey,lizard,ladybug,hog,butterfly
ladybug,turtle,dog,elephant,giraffe,monkey,frog,whale,snake
goat,tiger,frog,monkey,sparrow,bat,owl,goldfish,turkey
pigeon,dolphin,spider,rat,ant,snail,cow,goldfish,cat
shark,tiger,turtle,dolphin,goldfish,cow,hog,horse,ladybug
elephant,goldfish,duck,pigeon,snake,horse,spider,fox,cow
bluebird,shark,monkey,snake,rat,dog,spider,owl,cat
turtle,hog,giraffe,spider,butterfly,frog,horse,crocodile,fox
cat,turtle,eagle,crocodile,spider,frog,elephant,shark,bear
mouse,pigeon,dog,tiger,horse,snail,duck,ant,shark
spider,giraffe,monkey,shark,duck,frog,rat,butterfly,ladybug
cat,cow,butterfly,snail,dog,snake,dolphin,hog,sheep
snake,bear,cat,turkey,hog,eagle,elephant,crocodile,lizard
duck,horse,goat,owl,bluebird,whale,bat,snail,sheep
sparrow,whale,mouse,elephant,turtle,pigeon,rat,horse,spider
whale,goat,crocodile,snake,bluebird,tiger,sparrow,elephant,frog
hog,bear,goat,fox,sparrow,horse,goldfish,turkey,ladybug
bluebird,frog,monkey,bear,hog,cow,lizard,dog,horse
turkey,butterfly,giraffe,snake,owl,sheep,cat,mouse,snail
bear,elephant,shark,dog,cow,crocodile,eagle,duck,turtle
crocodile,lizard,rat,sparrow,cat,giraffe,elephant,duck,whale
owl,frog,cow,eagle,turkey,sparrow,elephant,ant,mouse
lizard,dog,bat,shark,cow,hog,bear,snail,fox
monkey,fox,giraffe,cow,rat,ant,shark,duck,tiger
tiger,frog,owl,turkey,butterfly,duck,bear,spider,bluebird
owl,tiger,turtle,pigeon,horse,crocodile,shark,bluebird,fox
spider,whale,eagle,crocodile,pigeon,shark,bear,goldfish,butterfly
duck,cow,bear,tiger,turkey,lizard,frog,pigeon,turtle
fox,eagle,frog,sparrow,dog,pigeon,bluebird,horse,snake
whale,hog,tiger,pigeon,giraffe,spider,bat,snail,bluebird
shark,mouse,lizard,bluebird,duck,ant,dolphin,butterfly,tiger
monkey,dog,dolphin,crocodile,ant,turtle,bat,duck,horse
hog,butterfly,pigeon,shark,rat,sheep,duck,tiger,monkey
lizard,duck,frog,butterfly,snake,sheep,bluebird,monkey,mouse
sheep,snake,monkey,spider,dolphin,frog,turtle,owl,hog
sparrow,giraffe,tiger,sheep,bat,dolphin,snake,goldfish,bear
tiger,ant,whale,dog,dolphin,bat,crocodile,fox,sparrow
bluebird,ladybug,tiger,ant,elephant,pigeon,whale,shark,snake
ant,turkey,dolphin,frog,lizard,turtle,bear,crocodile,bluebird
ant,pigeon,monkey,eagle,goldfish,spider,sparrow,snake,ladybug
snail,owl,goldfish,goat,lizard,turkey,sparrow,frog,dog
dog,snail,rat,fox,goldfish,sparrow,horse,turtle,shark
giraffe,dolphin,turtle,snake,ant,sparrow,ladybug,owl,turkey
