ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
pigeon,elephant,monkey,goat,bluebird,snake,lizard,bat,hog,"['stim4', 'stim7', 'stim5', 'stim6', 'stim3', 'stim8', 'stim2', 'stim1']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
goat,monkey,snake,shark,fox,tiger,lizard,dog,pigeon,"['stim7', 'stim4', 'stim1', 'stim5', 'stim8', 'stim2', 'stim6', 'stim3']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
turtle,bluebird,crocodile,giraffe,elephant,turkey,goat,cow,shark,"['stim2', 'stim1', 'stim5', 'stim6', 'stim7', 'stim8', 'stim3', 'stim4']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
goat,whale,ant,hog,eagle,bear,turtle,cow,ladybug,"['stim3', 'stim5', 'stim7', 'stim1', 'stim4', 'stim6', 'stim8', 'stim2']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
sparrow,giraffe,bear,snake,dolphin,bat,tiger,sheep,goldfish,"['stim5', 'stim8', 'stim3', 'stim7', 'stim6', 'stim2', 'stim4', 'stim1']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
snake,bear,lizard,elephant,eagle,hog,cat,turkey,crocodile,"['stim2', 'stim8', 'stim7', 'stim4', 'stim6', 'stim5', 'stim1', 'stim3']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
tiger,pigeon,frog,snail,shark,mouse,cat,owl,lizard,"['stim6', 'stim4', 'stim8', 'stim7', 'stim1', 'stim5', 'stim2', 'stim3']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
shark,tiger,ladybug,hog,cow,goldfish,turtle,dolphin,horse,"['stim7', 'stim5', 'stim1', 'stim8', 'stim4', 'stim3', 'stim6', 'stim2']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
sparrow,monkey,eagle,rat,bluebird,snail,lizard,ant,horse,"['stim4', 'stim2', 'stim3', 'stim6', 'stim5', 'stim7', 'stim8', 'stim1']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
lizard,dolphin,horse,whale,tiger,rat,goat,goldfish,eagle,"['stim7', 'stim1', 'stim3', 'stim2', 'stim4', 'stim6', 'stim8', 'stim5']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
ant,duck,frog,fox,bluebird,elephant,tiger,owl,goat,"['stim2', 'stim7', 'stim4', 'stim3', 'stim1', 'stim8', 'stim6', 'stim5']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
goldfish,cat,elephant,cow,whale,monkey,spider,hog,lizard,"['stim8', 'stim4', 'stim6', 'stim1', 'stim7', 'stim5', 'stim3', 'stim2']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
mouse,pigeon,shark,duck,snail,horse,dog,tiger,ant,"['stim1', 'stim3', 'stim6', 'stim5', 'stim7', 'stim2', 'stim4', 'stim8']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
horse,rat,snail,ladybug,turtle,dolphin,owl,cat,pigeon,"['stim5', 'stim7', 'stim8', 'stim6', 'stim1', 'stim4', 'stim2', 'stim3']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
snail,mouse,dolphin,snake,whale,horse,tiger,sheep,turtle,"['stim8', 'stim3', 'stim1', 'stim7', 'stim6', 'stim5', 'stim2', 'stim4']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
cow,monkey,bear,dolphin,tiger,dog,ant,fox,eagle,"['stim2', 'stim1', 'stim3', 'stim4', 'stim5', 'stim7', 'stim8', 'stim6']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
pigeon,dolphin,cat,cow,snail,ant,spider,rat,goldfish,"['stim7', 'stim2', 'stim3', 'stim1', 'stim4', 'stim8', 'stim6', 'stim5']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
rat,owl,goldfish,turtle,duck,crocodile,dolphin,monkey,ladybug,"['stim2', 'stim3', 'stim4', 'stim1', 'stim7', 'stim6', 'stim5', 'stim8']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
cat,sheep,horse,monkey,fox,goat,elephant,dog,turtle,"['stim7', 'stim4', 'stim1', 'stim5', 'stim3', 'stim2', 'stim6', 'stim8']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
frog,turkey,sparrow,bear,bat,duck,ant,hog,cat,"['stim2', 'stim5', 'stim4', 'stim1', 'stim8', 'stim7', 'stim3', 'stim6']",S1,6,2020_May_27_1204,word_exp,2020.1.0,None
