ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,"['stim7', 'stim6', 'stim4', 'stim2', 'stim3', 'stim5', 'stim1', 'stim8']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,"['stim1', 'stim8', 'stim7', 'stim3', 'stim5', 'stim6', 'stim2', 'stim4']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
butterfly,monkey,turkey,lizard,shark,bat,whale,crocodile,turtle,"['stim5', 'stim2', 'stim3', 'stim8', 'stim7', 'stim1', 'stim6', 'stim4']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,"['stim8', 'stim6', 'stim7', 'stim2', 'stim4', 'stim1', 'stim5', 'stim3']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
eagle,turkey,cow,sparrow,cat,hog,turtle,snail,frog,"['stim3', 'stim1', 'stim5', 'stim4', 'stim8', 'stim6', 'stim7', 'stim2']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,"['stim3', 'stim1', 'stim4', 'stim8', 'stim7', 'stim6', 'stim5', 'stim2']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,"['stim3', 'stim6', 'stim7', 'stim2', 'stim1', 'stim4', 'stim8', 'stim5']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
goldfish,crocodile,bat,sheep,sparrow,snake,snail,horse,bluebird,"['stim1', 'stim6', 'stim5', 'stim2', 'stim4', 'stim8', 'stim3', 'stim7']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,"['stim2', 'stim7', 'stim4', 'stim3', 'stim8', 'stim5', 'stim6', 'stim1']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
owl,dolphin,frog,butterfly,dog,bear,eagle,monkey,rat,"['stim6', 'stim3', 'stim7', 'stim5', 'stim8', 'stim4', 'stim2', 'stim1']",S4,1,2021_Jun_09_1104,word_exp,2020.1.0,59.9995621
