ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
frog,dolphin,pigeon,whale,turtle,horse,giraffe,duck,ant
tiger,bear,giraffe,rat,horse,turkey,hog,monkey,goldfish
snail,hog,bear,whale,butterfly,eagle,bat,elephant,snake
horse,bat,whale,eagle,fox,monkey,mouse,cow,tiger
pigeon,rat,cat,ant,dolphin,spider,snail,goldfish,cow
sparrow,hog,turkey,dog,pigeon,cat,turtle,shark,goat
bear,dog,turtle,cow,elephant,shark,crocodile,duck,eagle
dog,frog,eagle,bear,lizard,giraffe,bluebird,butterfly,elephant
turtle,cow,crocodile,turkey,bluebird,goat,elephant,shark,giraffe
lizard,elephant,fox,goldfish,rat,dog,spider,giraffe,ant
bluebird,crocodile,dolphin,frog,goldfish,fox,bat,hog,turtle
sheep,elephant,cat,owl,snake,tiger,shark,bluebird,mouse
butterfly,dolphin,bluebird,ladybug,giraffe,goat,elephant,hog,duck
rat,monkey,goldfish,crocodile,owl,dolphin,duck,ladybug,turtle
eagle,goat,butterfly,pigeon,cat,duck,mouse,hog,whale
bat,bluebird,dog,cow,mouse,giraffe,ladybug,butterfly,owl
shark,spider,elephant,eagle,horse,snake,frog,hog,snail
crocodile,sparrow,whale,cat,lizard,rat,giraffe,duck,elephant
hog,crocodile,dog,cow,spider,snake,elephant,ant,bluebird
goldfish,hog,elephant,monkey,cat,spider,whale,lizard,cow
mouse,dog,giraffe,elephant,turkey,frog,ant,spider,bat
lizard,goldfish,horse,rat,dolphin,goat,tiger,eagle,whale
tiger,dog,sparrow,dolphin,ant,whale,bat,fox,crocodile
turkey,rat,monkey,frog,horse,hog,spider,bear,whale
shark,whale,sheep,owl,cat,pigeon,frog,rat,spider
spider,owl,horse,snake,turkey,dolphin,pigeon,goldfish,sheep
ladybug,elephant,snake,giraffe,turtle,dog,monkey,whale,frog
butterfly,ladybug,mouse,goldfish,eagle,frog,fox,cow,duck
bluebird,goat,mouse,duck,snail,giraffe,ant,eagle,ladybug
cat,dog,horse,goat,sheep,elephant,fox,turtle,monkey
butterfly,goldfish,bear,ant,rat,pigeon,spider,mouse,dog
goldfish,owl,horse,bear,tiger,fox,rat,giraffe,bat
butterfly,crocodile,turkey,bat,monkey,whale,shark,turtle,lizard
cow,cat,owl,giraffe,ant,butterfly,horse,hog,bear
bat,horse,snake,turkey,tiger,cat,duck,snail,pigeon
bluebird,mouse,goldfish,sparrow,crocodile,butterfly,goat,sheep,turkey
snake,turkey,lizard,hog,bear,cat,eagle,crocodile,elephant
eagle,bat,owl,tiger,dolphin,bluebird,spider,fox,rat
turkey,shark,pigeon,cat,turtle,ant,giraffe,bluebird,bat
turtle,goldfish,rat,duck,whale,pigeon,lizard,cat,sheep
shark,dolphin,ladybug,goldfish,tiger,turtle,cow,horse,hog
ladybug,spider,elephant,duck,whale,eagle,bear,goat,tiger
hog,lizard,frog,dolphin,goat,duck,whale,horse,pigeon
ant,whale,dog,cat,snail,hog,cow,monkey,sparrow
mouse,tiger,shark,horse,pigeon,dog,snail,ant,duck
turtle,duck,ant,elephant,cow,snail,snake,sparrow,cat
horse,owl,crocodile,giraffe,turkey,goat,turtle,bluebird,sheep
goldfish,turtle,mouse,ladybug,ant,turkey,whale,butterfly,elephant
owl,eagle,mouse,turkey,frog,cow,sparrow,ant,elephant
mouse,crocodile,cat,goat,duck,butterfly,snail,lizard,eagle
ladybug,ant,owl,shark,cat,lizard,bluebird,goldfish,bat
snake,monkey,whale,fox,crocodile,horse,sheep,turtle,turkey
sheep,goat,hog,turkey,dog,horse,dolphin,fox,rat
owl,monkey,frog,bear,dolphin,eagle,dog,rat,butterfly
fox,goldfish,dolphin,bluebird,bear,goat,giraffe,pigeon,tiger
giraffe,butterfly,fox,dolphin,sparrow,frog,horse,rat,bluebird
cow,turtle,mouse,bluebird,giraffe,elephant,crocodile,owl,whale
ant,eagle,ladybug,goldfish,pigeon,monkey,spider,snake,sparrow
spider,crocodile,butterfly,pigeon,whale,eagle,shark,goldfish,bear
hog,fox,ladybug,sparrow,bear,goat,horse,turkey,goldfish
turkey,ant,duck,eagle,monkey,horse,tiger,ladybug,bat
elephant,pigeon,cow,snake,goldfish,duck,horse,fox,spider
hog,owl,cat,elephant,snail,sparrow,mouse,bluebird,bear
duck,elephant,snail,dolphin,monkey,cat,fox,rat,goat
ant,whale,shark,lizard,bat,sheep,dog,mouse,dolphin
frog,goat,crocodile,mouse,rat,fox,bluebird,butterfly,eagle
turtle,fox,mouse,monkey,dolphin,ladybug,bat,frog,tiger
duck,hog,monkey,ladybug,fox,snake,dog,shark,sparrow
turkey,snake,snail,owl,butterfly,giraffe,sheep,mouse,cat
bat,monkey,pigeon,owl,eagle,cat,ant,elephant,cow
ladybug,snail,pigeon,cow,sheep,rat,snake,monkey,turkey
ant,horse,giraffe,duck,butterfly,spider,goldfish,fox,rat
turkey,hog,lizard,crocodile,elephant,fox,bear,cow,goldfish
pigeon,owl,bear,elephant,crocodile,mouse,turkey,shark,bluebird
rat,shark,spider,goat,snake,cat,butterfly,turkey,sheep
snail,ladybug,pigeon,turkey,monkey,fox,cat,sparrow,duck
whale,cat,dolphin,eagle,horse,fox,sheep,ant,rat
elephant,tiger,monkey,turkey,shark,cat,snail,butterfly,bat
crocodile,bat,fox,pigeon,eagle,dog,dolphin,mouse,monkey
dog,hog,bat,butterfly,elephant,whale,turkey,crocodile,goat
pigeon,bat,monkey,snake,elephant,lizard,bluebird,hog,goat
bat,rat,lizard,crocodile,snake,fox,turtle,sheep,snail
giraffe,sheep,spider,cow,snail,dog,elephant,hog,bear
shark,sparrow,monkey,goat,dog,turkey,bear,cat,whale
rat,pigeon,frog,lizard,tiger,cow,mouse,hog,ant
tiger,turkey,bluebird,butterfly,frog,owl,duck,spider,bear
monkey,crocodile,horse,ant,dog,dolphin,turtle,duck,bat
lizard,duck,cat,mouse,pigeon,tiger,dolphin,ladybug,owl
turkey,sparrow,goat,dolphin,butterfly,owl,dog,cow,lizard
cat,ladybug,lizard,crocodile,frog,mouse,duck,sparrow,goldfish
sparrow,elephant,spider,turtle,whale,mouse,pigeon,horse,rat
whale,butterfly,shark,dolphin,duck,ant,lizard,owl,cow
bear,hog,turkey,tiger,horse,rat,monkey,ladybug,giraffe
dog,fox,shark,goldfish,snail,rat,sparrow,turtle,horse
tiger,owl,frog,mouse,pigeon,cat,shark,lizard,snail
duck,turtle,cow,mouse,dog,giraffe,crocodile,shark,spider
lizard,turkey,turtle,frog,sparrow,bat,shark,crocodile,snake
dolphin,elephant,whale,eagle,owl,pigeon,butterfly,lizard,monkey
rat,fox,crocodile,tiger,lizard,duck,bluebird,sparrow,dog
frog,hog,sparrow,duck,turkey,ant,bat,cat,bear
frog,fox,dog,butterfly,snail,goldfish,sheep,lizard,spider
goat,cow,ant,bear,whale,turtle,eagle,ladybug,hog
lizard,shark,fox,cow,dog,bat,hog,snail,bear
cow,sparrow,eagle,tiger,lizard,goldfish,turkey,rat,frog
elephant,owl,sparrow,eagle,goat,turtle,crocodile,ant,rat
goat,monkey,turkey,sparrow,tiger,frog,bat,goldfish,owl
goldfish,pigeon,lizard,dog,goat,duck,cow,tiger,giraffe
monkey,horse,cat,frog,dog,owl,snake,pigeon,sheep
sheep,elephant,bluebird,cow,ant,goldfish,duck,bat,butterfly
bluebird,snake,cat,rat,shark,monkey,dog,owl,spider
horse,goldfish,spider,turkey,duck,sheep,ant,hog,butterfly
