ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
frog,dolphin,pigeon,whale,turtle,horse,giraffe,duck,ant,"['stim4', 'stim7', 'stim2', 'stim8', 'stim1', 'stim3', 'stim5', 'stim6']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
tiger,bear,giraffe,rat,horse,turkey,hog,monkey,goldfish,"['stim1', 'stim4', 'stim2', 'stim6', 'stim7', 'stim3', 'stim5', 'stim8']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
snail,hog,bear,whale,butterfly,eagle,bat,elephant,snake,"['stim4', 'stim6', 'stim8', 'stim1', 'stim7', 'stim3', 'stim5', 'stim2']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
horse,bat,whale,eagle,fox,monkey,mouse,cow,tiger,"['stim2', 'stim7', 'stim5', 'stim8', 'stim4', 'stim6', 'stim1', 'stim3']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
pigeon,rat,cat,ant,dolphin,spider,snail,goldfish,cow,"['stim1', 'stim2', 'stim5', 'stim3', 'stim7', 'stim6', 'stim8', 'stim4']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
sparrow,hog,turkey,dog,pigeon,cat,turtle,shark,goat,"['stim4', 'stim2', 'stim5', 'stim3', 'stim6', 'stim8', 'stim1', 'stim7']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
bear,dog,turtle,cow,elephant,shark,crocodile,duck,eagle,"['stim4', 'stim3', 'stim1', 'stim6', 'stim5', 'stim2', 'stim7', 'stim8']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
dog,frog,eagle,bear,lizard,giraffe,bluebird,butterfly,elephant,"['stim8', 'stim5', 'stim3', 'stim4', 'stim1', 'stim6', 'stim7', 'stim2']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
turtle,cow,crocodile,turkey,bluebird,goat,elephant,shark,giraffe,"['stim2', 'stim6', 'stim5', 'stim1', 'stim3', 'stim7', 'stim8', 'stim4']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
lizard,elephant,fox,goldfish,rat,dog,spider,giraffe,ant,"['stim4', 'stim8', 'stim1', 'stim6', 'stim5', 'stim3', 'stim2', 'stim7']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
bluebird,crocodile,dolphin,frog,goldfish,fox,bat,hog,turtle,"['stim6', 'stim3', 'stim8', 'stim7', 'stim5', 'stim4', 'stim1', 'stim2']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
sheep,elephant,cat,owl,snake,tiger,shark,bluebird,mouse,"['stim2', 'stim8', 'stim5', 'stim1', 'stim3', 'stim7', 'stim4', 'stim6']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
butterfly,dolphin,bluebird,ladybug,giraffe,goat,elephant,hog,duck,"['stim3', 'stim2', 'stim8', 'stim5', 'stim7', 'stim6', 'stim4', 'stim1']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
rat,monkey,goldfish,crocodile,owl,dolphin,duck,ladybug,turtle,"['stim1', 'stim8', 'stim7', 'stim6', 'stim2', 'stim4', 'stim3', 'stim5']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
eagle,goat,butterfly,pigeon,cat,duck,mouse,hog,whale,"['stim3', 'stim5', 'stim2', 'stim1', 'stim4', 'stim7', 'stim6', 'stim8']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
bat,bluebird,dog,cow,mouse,giraffe,ladybug,butterfly,owl,"['stim4', 'stim1', 'stim6', 'stim7', 'stim8', 'stim2', 'stim3', 'stim5']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
shark,spider,elephant,eagle,horse,snake,frog,hog,snail,"['stim5', 'stim2', 'stim6', 'stim7', 'stim8', 'stim1', 'stim4', 'stim3']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
crocodile,sparrow,whale,cat,lizard,rat,giraffe,duck,elephant,"['stim4', 'stim8', 'stim2', 'stim7', 'stim5', 'stim3', 'stim6', 'stim1']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
hog,crocodile,dog,cow,spider,snake,elephant,ant,bluebird,"['stim2', 'stim3', 'stim6', 'stim1', 'stim7', 'stim4', 'stim5', 'stim8']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
goldfish,hog,elephant,monkey,cat,spider,whale,lizard,cow,"['stim6', 'stim7', 'stim4', 'stim5', 'stim1', 'stim8', 'stim3', 'stim2']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
mouse,dog,giraffe,elephant,turkey,frog,ant,spider,bat,"['stim8', 'stim1', 'stim6', 'stim7', 'stim5', 'stim2', 'stim3', 'stim4']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
lizard,goldfish,horse,rat,dolphin,goat,tiger,eagle,whale,"['stim3', 'stim1', 'stim4', 'stim8', 'stim5', 'stim2', 'stim6', 'stim7']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
tiger,dog,sparrow,dolphin,ant,whale,bat,fox,crocodile,"['stim1', 'stim5', 'stim7', 'stim8', 'stim3', 'stim6', 'stim2', 'stim4']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
turkey,rat,monkey,frog,horse,hog,spider,bear,whale,"['stim5', 'stim2', 'stim3', 'stim1', 'stim7', 'stim4', 'stim8', 'stim6']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
shark,whale,sheep,owl,cat,pigeon,frog,rat,spider,"['stim1', 'stim8', 'stim7', 'stim4', 'stim2', 'stim3', 'stim6', 'stim5']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
spider,owl,horse,snake,turkey,dolphin,pigeon,goldfish,sheep,"['stim3', 'stim7', 'stim6', 'stim8', 'stim4', 'stim2', 'stim1', 'stim5']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
ladybug,elephant,snake,giraffe,turtle,dog,monkey,whale,frog,"['stim8', 'stim4', 'stim2', 'stim5', 'stim6', 'stim3', 'stim1', 'stim7']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
butterfly,ladybug,mouse,goldfish,eagle,frog,fox,cow,duck,"['stim1', 'stim4', 'stim2', 'stim3', 'stim5', 'stim8', 'stim7', 'stim6']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
bluebird,goat,mouse,duck,snail,giraffe,ant,eagle,ladybug,"['stim7', 'stim3', 'stim8', 'stim2', 'stim1', 'stim4', 'stim6', 'stim5']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
cat,dog,horse,goat,sheep,elephant,fox,turtle,monkey,"['stim1', 'stim3', 'stim4', 'stim6', 'stim8', 'stim2', 'stim5', 'stim7']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
butterfly,goldfish,bear,ant,rat,pigeon,spider,mouse,dog,"['stim6', 'stim3', 'stim5', 'stim7', 'stim4', 'stim1', 'stim8', 'stim2']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
goldfish,owl,horse,bear,tiger,fox,rat,giraffe,bat,"['stim6', 'stim8', 'stim5', 'stim4', 'stim2', 'stim3', 'stim7', 'stim1']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
butterfly,crocodile,turkey,bat,monkey,whale,shark,turtle,lizard,"['stim3', 'stim2', 'stim8', 'stim7', 'stim1', 'stim4', 'stim5', 'stim6']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
cow,cat,owl,giraffe,ant,butterfly,horse,hog,bear,"['stim7', 'stim6', 'stim8', 'stim1', 'stim3', 'stim4', 'stim2', 'stim5']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
bat,horse,snake,turkey,tiger,cat,duck,snail,pigeon,"['stim8', 'stim5', 'stim3', 'stim1', 'stim6', 'stim4', 'stim2', 'stim7']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
bluebird,mouse,goldfish,sparrow,crocodile,butterfly,goat,sheep,turkey,"['stim3', 'stim5', 'stim8', 'stim1', 'stim7', 'stim6', 'stim2', 'stim4']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
snake,turkey,lizard,hog,bear,cat,eagle,crocodile,elephant,"['stim2', 'stim3', 'stim7', 'stim8', 'stim5', 'stim4', 'stim1', 'stim6']",S4,9,2021_Jul_08_1116,word_exp,2020.1.0,59.96060216
