ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
giraffe,frog,whale,rat,mouse,cat,lizard,sheep,hog
owl,pigeon,fox,horse,tiger,turtle,crocodile,bluebird,shark
sparrow,duck,cow,sheep,lizard,tiger,ant,crocodile,frog
snake,duck,bat,frog,goat,tiger,dog,owl,goldfish
shark,bluebird,tiger,duck,mouse,lizard,ant,butterfly,dolphin
crocodile,spider,fox,hog,dog,snake,turtle,shark,horse
ant,owl,frog,elephant,duck,tiger,bluebird,goat,fox
owl,snake,whale,fox,hog,duck,horse,goat,bat
elephant,mouse,monkey,dog,bat,snake,spider,giraffe,bluebird
cow,frog,bat,ladybug,goldfish,duck,shark,pigeon,snake
spider,dog,tiger,duck,snail,ant,mouse,giraffe,turtle
eagle,monkey,ladybug,dog,lizard,goldfish,shark,frog,turtle
whale,snake,frog,bluebird,goat,crocodile,tiger,elephant,sparrow
eagle,dog,owl,fox,elephant,snake,horse,ladybug,ant
giraffe,shark,pigeon,goldfish,tiger,crocodile,cow,eagle,bear
ant,frog,bluebird,lizard,turkey,dolphin,turtle,crocodile,bear
cow,fox,bear,dog,monkey,ant,tiger,eagle,dolphin
monkey,snail,bear,whale,goat,lizard,sparrow,hog,ladybug
