ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
giraffe,snake,turkey,ant,dolphin,turtle,sparrow,owl,ladybug,"['stim4', 'stim2', 'stim3', 'stim5', 'stim8', 'stim7', 'stim6', 'stim1']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
horse,cat,snail,dolphin,rat,owl,turtle,pigeon,ladybug,"['stim3', 'stim1', 'stim4', 'stim6', 'stim5', 'stim7', 'stim8', 'stim2']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
giraffe,turkey,duck,monkey,bat,goat,pigeon,ladybug,crocodile,"['stim3', 'stim5', 'stim8', 'stim1', 'stim2', 'stim4', 'stim6', 'stim7']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
snail,crocodile,butterfly,hog,frog,shark,goat,giraffe,bluebird,"['stim4', 'stim2', 'stim1', 'stim3', 'stim8', 'stim6', 'stim5', 'stim7']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
bat,goat,goldfish,sparrow,bear,spider,dolphin,lizard,rat,"['stim8', 'stim3', 'stim5', 'stim7', 'stim2', 'stim1', 'stim4', 'stim6']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
snail,sheep,dolphin,horse,mouse,tiger,whale,turtle,snake,"['stim8', 'stim7', 'stim4', 'stim2', 'stim6', 'stim1', 'stim3', 'stim5']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
sheep,giraffe,lizard,pigeon,fox,eagle,ladybug,horse,whale,"['stim7', 'stim4', 'stim1', 'stim8', 'stim2', 'stim3', 'stim5', 'stim6']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
spider,shark,ladybug,duck,giraffe,monkey,frog,butterfly,rat,"['stim2', 'stim7', 'stim8', 'stim6', 'stim3', 'stim5', 'stim4', 'stim1']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
dolphin,tiger,ladybug,bat,bear,fox,goat,sheep,turtle,"['stim4', 'stim1', 'stim6', 'stim7', 'stim5', 'stim8', 'stim3', 'stim2']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
tiger,turtle,snake,goat,fox,eagle,lizard,pigeon,ant,"['stim4', 'stim3', 'stim6', 'stim1', 'stim5', 'stim7', 'stim8', 'stim2']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
crocodile,cow,sheep,pigeon,ladybug,goat,turkey,goldfish,dolphin,"['stim8', 'stim1', 'stim2', 'stim5', 'stim6', 'stim4', 'stim7', 'stim3']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
sparrow,ant,eagle,snail,monkey,lizard,bluebird,horse,rat,"['stim6', 'stim2', 'stim8', 'stim1', 'stim5', 'stim4', 'stim7', 'stim3']",S4,10,2021_Jul_13_1500,word_exp,2020.1.0,59.97134892
