ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
monkey,owl,horse,snake,frog,cat,dog,sheep,pigeon,"['stim6', 'stim5', 'stim2', 'stim7', 'stim1', 'stim4', 'stim8', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
goldfish,duck,pigeon,cow,dog,lizard,goat,giraffe,tiger,"['stim5', 'stim1', 'stim4', 'stim3', 'stim8', 'stim7', 'stim6', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
butterfly,whale,crocodile,shark,bat,turkey,monkey,lizard,turtle,"['stim4', 'stim5', 'stim7', 'stim8', 'stim2', 'stim6', 'stim1', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bear,spider,snake,bat,cow,fox,goat,whale,shark,"['stim5', 'stim4', 'stim6', 'stim3', 'stim8', 'stim2', 'stim1', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
turtle,ladybug,eagle,dog,owl,sheep,bear,monkey,lizard,"['stim8', 'stim1', 'stim5', 'stim3', 'stim7', 'stim6', 'stim2', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
mouse,dog,tiger,snail,horse,shark,pigeon,duck,ant,"['stim6', 'stim1', 'stim4', 'stim8', 'stim7', 'stim3', 'stim2', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
elephant,turtle,owl,crocodile,eagle,sparrow,goat,rat,ant,"['stim3', 'stim1', 'stim8', 'stim6', 'stim7', 'stim2', 'stim4', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bluebird,monkey,bear,cow,hog,horse,frog,lizard,dog,"['stim1', 'stim8', 'stim4', 'stim3', 'stim5', 'stim6', 'stim7', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
mouse,butterfly,crocodile,snail,goat,cat,duck,eagle,lizard,"['stim5', 'stim4', 'stim8', 'stim2', 'stim6', 'stim3', 'stim7', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bat,giraffe,bluebird,ladybug,cow,dog,mouse,owl,butterfly,"['stim6', 'stim8', 'stim7', 'stim2', 'stim5', 'stim4', 'stim3', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
spider,eagle,crocodile,shark,pigeon,butterfly,whale,bear,goldfish,"['stim5', 'stim2', 'stim8', 'stim4', 'stim1', 'stim7', 'stim6', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
cow,goldfish,sparrow,turkey,tiger,eagle,lizard,frog,rat,"['stim4', 'stim8', 'stim6', 'stim7', 'stim2', 'stim3', 'stim5', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
mouse,sparrow,fox,lizard,monkey,butterfly,bear,ladybug,hog,"['stim8', 'stim4', 'stim6', 'stim3', 'stim2', 'stim1', 'stim5', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
