ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
ant,spider,horse,goldfish,duck,giraffe,butterfly,rat,fox
horse,sheep,goldfish,ant,turkey,spider,duck,butterfly,hog
spider,ant,dog,mouse,duck,tiger,snail,turtle,giraffe
ladybug,eagle,fox,duck,mouse,dolphin,shark,hog,cat
fox,whale,duck,dog,rat,eagle,monkey,crocodile,cow
crocodile,snake,spider,turtle,hog,fox,dog,horse,shark
cat,mouse,ladybug,duck,crocodile,lizard,frog,goldfish,sparrow
sheep,goldfish,elephant,duck,cow,bluebird,ant,butterfly,bat
tiger,turkey,bear,hog,rat,giraffe,horse,goldfish,monkey
dog,snail,horse,sheep,crocodile,snake,spider,duck,turkey
bear,rat,hog,monkey,tiger,turkey,horse,giraffe,ladybug
goldfish,turkey,turtle,whale,ladybug,mouse,ant,elephant,butterfly
horse,monkey,bat,mouse,eagle,whale,fox,tiger,cow
bluebird,tiger,ant,pigeon,elephant,snake,ladybug,whale,shark
rat,bat,cat,ladybug,sheep,whale,horse,turtle,eagle
turtle,snail,duck,snake,elephant,ant,cow,cat,sparrow
giraffe,cat,frog,lizard,rat,whale,mouse,hog,sheep
owl,goat,snail,whale,goldfish,ladybug,sheep,mouse,sparrow
ant,monkey,eagle,spider,goldfish,ladybug,pigeon,sparrow,snake
rat,elephant,pigeon,snail,giraffe,ant,butterfly,bear,snake
bear,shark,dog,crocodile,cow,turtle,elephant,eagle,duck
