ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
sheep,pigeon,ladybug,bat,cow,snail,crocodile,sparrow,bear
cow,elephant,turtle,crocodile,bluebird,mouse,giraffe,whale,owl
butterfly,frog,ladybug,fox,goldfish,mouse,eagle,duck,cow
crocodile,butterfly,frog,bear,tiger,cow,turkey,duck,sparrow
ladybug,eagle,spider,bear,duck,elephant,whale,tiger,goat
bear,snail,goat,pigeon,butterfly,cat,frog,bat,goldfish
frog,owl,snake,hog,tiger,snail,dog,cow,cat
pigeon,spider,rat,snail,ant,cat,dolphin,cow,goldfish
sparrow,cat,hog,turtle,dog,turkey,pigeon,goat,shark
snake,giraffe,cow,dog,snail,elephant,frog,bear,shark
cat,pigeon,bat,bluebird,lizard,owl,whale,ladybug,rat
tiger,eagle,turtle,lizard,goat,snake,fox,ant,pigeon
bat,shark,whale,frog,spider,giraffe,goldfish,dog,hog
eagle,snake,dog,horse,fox,owl,elephant,ant,ladybug
tiger,cat,owl,shark,mouse,frog,pigeon,snail,lizard
lizard,bat,turkey,shark,frog,turtle,sparrow,snake,crocodile
shark,pigeon,whale,frog,owl,sheep,cat,spider,rat
giraffe,dog,sheep,elephant,cow,spider,snail,bear,hog
giraffe,crocodile,shark,cow,goldfish,pigeon,tiger,bear,eagle
rat,duck,fox,bluebird,tiger,crocodile,lizard,dog,sparrow
eagle,goldfish,monkey,shark,dog,ladybug,lizard,turtle,frog
snake,tiger,duck,dog,frog,bat,goat,goldfish,owl
eagle,sheep,pigeon,crocodile,dolphin,rat,mouse,giraffe,bear
tiger,whale,dog,bat,dolphin,sparrow,ant,crocodile,fox
cow,butterfly,cat,horse,giraffe,owl,ant,bear,hog
monkey,whale,snail,eagle,sheep,pigeon,bluebird,butterfly,spider
monkey,owl,horse,snake,frog,cat,dog,sheep,pigeon
goldfish,duck,pigeon,cow,dog,lizard,goat,giraffe,tiger
butterfly,whale,crocodile,shark,bat,turkey,monkey,lizard,turtle
bear,spider,snake,bat,cow,fox,goat,whale,shark
turtle,ladybug,eagle,dog,owl,sheep,bear,monkey,lizard
mouse,dog,tiger,snail,horse,shark,pigeon,duck,ant
elephant,turtle,owl,crocodile,eagle,sparrow,goat,rat,ant
bluebird,monkey,bear,cow,hog,horse,frog,lizard,dog
mouse,butterfly,crocodile,snail,goat,cat,duck,eagle,lizard
bat,giraffe,bluebird,ladybug,cow,dog,mouse,owl,butterfly
spider,eagle,crocodile,shark,pigeon,butterfly,whale,bear,goldfish
cow,goldfish,sparrow,turkey,tiger,eagle,lizard,frog,rat
mouse,sparrow,fox,lizard,monkey,butterfly,bear,ladybug,hog
butterfly,owl,turkey,sheep,ant,snail,bear,crocodile,tiger
lizard,bat,shark,hog,cow,fox,dog,bear,snail
bat,cat,monkey,ant,owl,pigeon,eagle,cow,elephant
sparrow,tiger,duck,ant,sheep,cow,lizard,frog,crocodile
goldfish,snail,horse,sparrow,snake,bat,crocodile,sheep,bluebird
frog,goldfish,fox,sheep,butterfly,dog,snail,spider,lizard
sparrow,tiger,sheep,dolphin,bat,bear,giraffe,snake,goldfish
frog,fox,goat,bluebird,mouse,crocodile,rat,eagle,butterfly
dog,rat,fox,sparrow,goldfish,shark,snail,horse,turtle
shark,lizard,bluebird,ant,duck,tiger,mouse,dolphin,butterfly
goldfish,spider,hog,whale,monkey,elephant,cat,cow,lizard
crocodile,goat,cow,turkey,pigeon,sheep,ladybug,dolphin,goldfish
dolphin,turkey,cat,hog,snail,dog,eagle,pigeon,goldfish
duck,snake,hog,dog,ladybug,monkey,fox,sparrow,shark
elephant,duck,pigeon,horse,snake,cow,goldfish,spider,fox
duck,sheep,horse,lizard,ant,goldfish,eagle,turkey,butterfly
ladybug,rat,snail,snake,cow,pigeon,sheep,turkey,monkey
fox,snail,butterfly,turkey,owl,spider,duck,crocodile,shark
snail,shark,crocodile,goat,hog,butterfly,frog,bluebird,giraffe
snake,monkey,spider,ladybug,butterfly,turtle,ant,dolphin,sparrow
shark,turkey,sparrow,bear,goat,monkey,dog,whale,cat
goat,sparrow,dolphin,giraffe,sheep,elephant,snail,bat,spider
turkey,hog,rat,spider,frog,monkey,horse,whale,bear
ant,tiger,owl,bluebird,elephant,frog,duck,fox,goat
hog,snake,crocodile,elephant,cow,dog,spider,bluebird,ant
sparrow,mouse,elephant,pigeon,turtle,spider,whale,rat,horse
turkey,ant,shark,giraffe,cat,pigeon,turtle,bat,bluebird
pigeon,giraffe,frog,bear,crocodile,fox,sheep,ladybug,whale
snail,spider,cat,cow,dolphin,tiger,rat,ant,monkey
whale,sheep,goat,bear,goldfish,crocodile,eagle,monkey,ladybug
fox,turtle,cat,ant,goat,dolphin,ladybug,bat,lizard
sheep,horse,goat,dolphin,turkey,hog,dog,rat,fox
owl,turtle,pigeon,crocodile,horse,fox,tiger,shark,bluebird
owl,dog,crocodile,cat,turtle,lizard,rat,spider,giraffe
dog,mouse,ant,turtle,cat,monkey,dolphin,pigeon,shark
goat,lizard,dog,fox,tiger,snake,monkey,shark,pigeon
lizard,dog,elephant,spider,goldfish,fox,rat,ant,giraffe
dog,giraffe,frog,bluebird,bear,eagle,lizard,elephant,butterfly
rat,dolphin,monkey,duck,crocodile,goldfish,owl,turtle,ladybug
whale,crocodile,snake,tiger,bluebird,frog,goat,sparrow,elephant
lizard,goat,goldfish,tiger,rat,horse,dolphin,whale,eagle
ant,hog,whale,cow,cat,dog,snail,sparrow,monkey
bat,cat,horse,duck,turkey,snake,tiger,pigeon,snail
turkey,giraffe,snake,sheep,owl,snail,butterfly,cat,mouse
bluebird,monkey,snake,dog,rat,cat,shark,spider,owl
snake,cat,turkey,eagle,hog,lizard,bear,elephant,crocodile
bluebird,butterfly,mouse,goat,sparrow,goldfish,crocodile,turkey,sheep
fox,goat,goldfish,giraffe,bluebird,dolphin,bear,tiger,pigeon
horse,owl,cat,turtle,dolphin,snail,rat,ladybug,pigeon
cat,eagle,crocodile,frog,spider,bear,turtle,elephant,shark
goat,turtle,cow,eagle,bear,ant,whale,hog,ladybug
