ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
snake,crocodile,whale,turkey,sheep,fox,horse,monkey,turtle,"['stim1', 'stim8', 'stim3', 'stim5', 'stim6', 'stim4', 'stim7', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bear,goat,fox,whale,bat,cow,spider,snake,shark,"['stim5', 'stim1', 'stim2', 'stim7', 'stim4', 'stim6', 'stim8', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
dolphin,cow,shark,frog,sparrow,monkey,horse,whale,snake,"['stim2', 'stim7', 'stim3', 'stim8', 'stim1', 'stim6', 'stim5', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
duck,horse,sheep,bat,whale,bluebird,goat,owl,snail,"['stim7', 'stim5', 'stim2', 'stim6', 'stim1', 'stim3', 'stim8', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
mouse,bear,butterfly,ladybug,lizard,monkey,sparrow,fox,hog,"['stim4', 'stim7', 'stim8', 'stim5', 'stim1', 'stim6', 'stim3', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
elephant,goat,sparrow,rat,crocodile,eagle,turtle,owl,ant,"['stim1', 'stim3', 'stim4', 'stim6', 'stim2', 'stim5', 'stim7', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
fox,monkey,eagle,crocodile,dog,rat,whale,duck,cow,"['stim4', 'stim1', 'stim8', 'stim7', 'stim5', 'stim3', 'stim2', 'stim6']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
horse,sparrow,dolphin,elephant,snake,bear,monkey,pigeon,cow,"['stim8', 'stim3', 'stim5', 'stim6', 'stim1', 'stim7', 'stim4', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
spider,fox,bluebird,mouse,bat,sparrow,goat,dog,elephant,"['stim4', 'stim3', 'stim5', 'stim2', 'stim1', 'stim7', 'stim6', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
horse,fox,whale,tiger,mouse,eagle,monkey,bat,cow,"['stim8', 'stim6', 'stim3', 'stim1', 'stim4', 'stim5', 'stim7', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
owl,sheep,ladybug,mouse,whale,goldfish,goat,snail,sparrow,"['stim8', 'stim2', 'stim1', 'stim6', 'stim3', 'stim7', 'stim5', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
pigeon,sheep,fox,ladybug,bear,crocodile,giraffe,frog,whale,"['stim3', 'stim2', 'stim7', 'stim1', 'stim6', 'stim4', 'stim8', 'stim5']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
goldfish,ant,mouse,elephant,whale,ladybug,turkey,turtle,butterfly,"['stim7', 'stim4', 'stim5', 'stim8', 'stim1', 'stim2', 'stim6', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,"['stim3', 'stim4', 'stim2', 'stim5', 'stim1', 'stim8', 'stim6', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
monkey,bluebird,pigeon,butterfly,eagle,sheep,whale,snail,spider,"['stim5', 'stim6', 'stim4', 'stim2', 'stim1', 'stim7', 'stim3', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
snake,ant,turtle,dolphin,ladybug,butterfly,monkey,spider,sparrow,"['stim2', 'stim7', 'stim1', 'stim5', 'stim4', 'stim8', 'stim6', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
ant,turkey,bluebird,bear,turtle,lizard,dolphin,frog,crocodile,"['stim7', 'stim5', 'stim4', 'stim2', 'stim1', 'stim8', 'stim3', 'stim6']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
cow,crocodile,spider,shark,sheep,snail,duck,goat,whale,"['stim4', 'stim7', 'stim6', 'stim5', 'stim2', 'stim1', 'stim3', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
snake,goat,bat,goldfish,dog,frog,tiger,duck,owl,"['stim2', 'stim5', 'stim8', 'stim7', 'stim4', 'stim6', 'stim1', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
tiger,ant,sparrow,crocodile,bat,dolphin,whale,dog,fox,"['stim8', 'stim3', 'stim7', 'stim5', 'stim6', 'stim4', 'stim2', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bat,mouse,dog,owl,ladybug,cow,giraffe,bluebird,butterfly,"['stim3', 'stim4', 'stim7', 'stim8', 'stim1', 'stim2', 'stim5', 'stim6']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
dog,dolphin,monkey,pigeon,turtle,cat,mouse,ant,shark,"['stim5', 'stim2', 'stim6', 'stim4', 'stim3', 'stim7', 'stim1', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
dog,cow,ladybug,giraffe,lizard,owl,tiger,pigeon,monkey,"['stim8', 'stim6', 'stim1', 'stim3', 'stim7', 'stim5', 'stim4', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,"['stim4', 'stim3', 'stim7', 'stim6', 'stim1', 'stim2', 'stim8', 'stim5']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
monkey,elephant,fox,goldfish,giraffe,mouse,lizard,goat,turkey,"['stim7', 'stim2', 'stim1', 'stim4', 'stim5', 'stim8', 'stim6', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
